max_depth_XGB,reg_lambda_XGB,num_iterations_LGB,n_estimators_XGB,learning_rate_LGB,learning_rate_XGB,num_leaves_LGB,min_child_samples_LGB,reg_lambda_LGB,subsample_LGB,colsample_bytree_LGB,subsample_XGB,colsample_bytree_XGB,min_child_weight_XGB,max_bin_LGB,max_depth_LGB,reg_alpha_LGB,reg_alpha_XGB,degree,mse,r2
9,9,200,200,0.1,0.1,32,32,5.0,0.9,0.9,0.4999999999999999,0.4999999999999999,18,144,11,1.0,1.0,10,0.0937898240357772,0.9062101759642228
9,9,200,200,0.1,0.1,64,64,10.0,0.9,0.9,0.4999999999999999,0.4999999999999999,14,112,9,1.0,1.0,10,0.09384436731023515,0.9061556326897648
9,9,200,200,0.1,0.1,96,96,15.0,0.9,0.9,0.4999999999999999,0.4999999999999999,18,144,11,0.1,0.1,10,0.09789455293040468,0.9021054470695953
5,5,200,200,0.1,0.1,64,64,10.0,0.9,0.9,0.4999999999999999,0.4999999999999999,14,112,9,1.0,1.0,10,0.0981329424469899,0.9018670575530101
7,7,200,200,0.1,0.1,64,64,10.0,0.9,0.9,0.4999999999999999,0.4999999999999999,14,112,9,1.0,1.0,10,0.09825961465249551,0.9017403853475044
7,7,100,100,0.2,0.2,32,32,5.0,0.9,0.9,0.4999999999999999,0.4999999999999999,14,112,9,0.1,0.1,10,0.09849238114258943,0.9015076188574106
9,9,200,200,0.1,0.1,64,64,10.0,0.9,0.9,0.4999999999999999,0.4999999999999999,18,144,11,1.0,1.0,10,0.09872106484563742,0.9012789351543626
7,7,100,100,0.2,0.2,64,64,10.0,0.9,0.9,0.4999999999999999,0.4999999999999999,14,112,9,0.1,0.1,10,0.0991930173510473,0.9008069826489526
7,7,200,200,0.1,0.1,32,32,5.0,0.9,0.9,0.4999999999999999,0.4999999999999999,18,144,11,1.0,1.0,10,0.10011095801446238,0.8998890419855377
9,9,200,200,0.1,0.1,64,64,10.0,0.9,0.9,0.4999999999999999,0.4999999999999999,18,144,11,0.1,0.1,10,0.10070103600250936,0.8992989639974907
9,9,100,100,0.2,0.2,96,96,15.0,0.9,0.9,0.4999999999999999,0.4999999999999999,18,144,11,1.0,1.0,10,0.10120405829680791,0.8987959417031921
9,9,100,100,0.2,0.2,96,96,15.0,0.9,0.9,0.4999999999999999,0.4999999999999999,14,112,9,1.0,1.0,10,0.10141606891217024,0.8985839310878297
9,9,200,200,0.1,0.1,96,96,15.0,0.9,0.9,0.4999999999999999,0.4999999999999999,18,144,11,0.01,0.01,10,0.10190026097713974,0.8980997390228602
5,5,200,200,0.1,0.1,32,32,5.0,0.9,0.9,0.4999999999999999,0.4999999999999999,18,144,11,1.0,1.0,10,0.1022928895300077,0.8977071104699923
7,7,200,200,0.1,0.1,32,32,5.0,0.9,0.9,0.4999999999999999,0.4999999999999999,14,112,9,0.1,0.1,10,0.10273636538783168,0.8972636346121683
9,9,200,200,0.1,0.1,96,96,15.0,0.9,0.9,0.4999999999999999,0.4999999999999999,18,144,11,1.0,1.0,10,0.10293008828468482,0.8970699117153151
9,9,200,200,0.1,0.1,64,64,10.0,0.9,0.9,0.4999999999999999,0.4999999999999999,18,144,11,0.01,0.01,10,0.10294070837940024,0.8970592916205997
5,5,100,100,0.2,0.2,96,96,15.0,0.9,0.9,0.4999999999999999,0.4999999999999999,14,112,9,1.0,1.0,10,0.10299536380529829,0.8970046361947017
7,7,200,200,0.1,0.1,96,96,15.0,0.9,0.9,0.4999999999999999,0.4999999999999999,18,144,11,0.1,0.1,10,0.10336417681830944,0.8966358231816905
5,5,100,100,0.2,0.2,96,96,15.0,0.9,0.9,0.4999999999999999,0.4999999999999999,18,144,11,1.0,1.0,10,0.1035434049783814,0.8964565950216186
9,9,200,200,0.1,0.1,96,96,15.0,0.9,0.9,0.4999999999999999,0.4999999999999999,14,112,9,1.0,1.0,10,0.10354749700502588,0.8964525029949741
7,7,100,100,0.2,0.2,96,96,15.0,0.9,0.9,0.4999999999999999,0.4999999999999999,14,112,9,1.0,1.0,10,0.10361842256924143,0.8963815774307585
9,9,200,200,0.1,0.1,32,32,5.0,0.9,0.9,0.4999999999999999,0.4999999999999999,14,112,9,1.0,1.0,10,0.10369382019367977,0.8963061798063202
9,9,200,200,0.1,0.1,96,96,15.0,0.9,0.9,0.4999999999999999,0.4999999999999999,14,112,9,0.01,0.01,10,0.10387124832554845,0.8961287516744516
