max_depth_LGB,num_iterations_LGB,learning_rate_LGB,num_leaves_LGB,min_child_samples_LGB,reg_lambda_LGB,subsample_LGB,colsample_bytree_LGB,max_bin_LGB,reg_alpha_LGB,degree,mse,r2,mse_y,auc_t
7,200,0.1,64,64,10,0.5,0.5,80,1,10,0.08804713,0.91195287,1.093805249,0.504037149
5,200,0.1,64,64,10,0.5,0.5,80,1,10,0.088471469,0.911528531,1.084440625,0.504037149
7,200,0.1,64,64,10,0.9,0.9,112,1,10,0.089383693,0.910616307,1.099442772,0.504037149
5,100,0.2,64,64,10,0.7,0.7,144,1,10,0.090208873,0.909791127,1.086930473,0.504037149
9,100,0.2,32,32,5,0.7,0.7,16,1,10,0.090479602,0.909520398,1.140213747,0.504037149
9,100,0.2,64,64,10,0.5,0.5,80,1,10,0.090925623,0.909074377,1.101184678,0.504037149
7,100,0.2,96,96,15,0.5,0.5,48,0.1,10,0.091054875,0.908945125,1.085085101,0.504037149
9,100,0.2,96,96,15,0.7,0.7,48,0.1,10,0.091207548,0.908792452,1.0869424,0.504037149
9,100,0.2,96,96,15,0.5,0.5,48,0.01,10,0.091226122,0.908773878,1.085493144,0.504037149
7,200,0.1,64,64,10,0.5,0.5,112,1,10,0.091304228,0.908695772,1.093137365,0.504037149
7,200,0.1,64,64,10,0.5,0.5,80,0.1,10,0.09144616,0.90855384,1.093717407,0.504037149
7,200,0.1,64,64,10,0.5,0.5,112,0.01,10,0.091703442,0.908296558,1.093274962,0.504037149
7,100,0.2,128,128,20,0.5,0.5,48,0.01,10,0.091759782,0.908240218,1.081449235,0.504037149
9,100,0.2,128,128,20,0.5,0.5,48,0.01,10,0.091759782,0.908240218,1.081364688,0.504037149
7,200,0.1,96,96,15,0.5,0.5,144,1,10,0.091837711,0.908162289,1.082813698,0.504037149
9,100,0.2,64,64,10,0.7,0.7,144,0.1,10,0.09192822,0.90807178,1.105063606,0.504037149
9,200,0.1,64,64,10,0.5,0.5,80,1,10,0.091956857,0.908043143,1.103014778,0.504037149
9,200,0.1,64,64,10,0.9,0.9,112,1,10,0.09222853,0.90777147,1.109461001,0.504037149
9,200,0.1,96,96,15,0.7,0.7,48,0.01,10,0.092304483,0.907695517,1.085612187,0.504037149
9,100,0.2,64,64,10,0.5,0.5,144,0.1,10,0.09235619,0.90764381,1.097957153,0.504037149
5,100,0.2,64,64,10,0.5,0.5,48,0.01,10,0.09239793,0.90760207,1.092558814,0.504037149
9,100,0.2,96,96,15,0.5,0.5,144,1,10,0.092454327,0.907545673,1.083595182,0.504037149
9,200,0.1,64,64,10,0.5,0.5,144,1,10,0.092514133,0.907485867,1.095772046,0.504037149
7,100,0.2,64,64,10,0.5,0.5,144,0.1,10,0.092558086,0.907441914,1.08946986,0.504037149
7,200,0.1,64,64,10,0.5,0.5,80,0.01,10,0.092624511,0.907375489,1.095123782,0.504037149
9,100,0.2,64,64,10,0.5,0.5,48,1,10,0.092662736,0.907337264,1.098814426,0.504037149
7,200,0.1,64,64,10,0.5,0.5,112,0.1,10,0.092689754,0.907310246,1.091472683,0.504037149
5,100,0.2,32,32,5,0.5,0.5,144,1,10,0.092825378,0.907174622,1.096831022,0.504037149
9,200,0.1,96,96,15,0.5,0.5,112,1,10,0.092836944,0.907163056,1.080923447,0.504037149
5,200,0.1,32,32,5,0.5,0.5,16,0.1,10,0.092861402,0.907138598,1.093377029,0.504037149
9,200,0.1,32,32,5,0.5,0.5,48,0.1,10,0.09309566,0.90690434,1.127001005,0.504037149
7,100,0.2,64,64,10,0.5,0.5,80,0.01,10,0.09314092,0.90685908,1.097841662,0.504037149
5,100,0.2,64,64,10,0.5,0.5,80,0.01,10,0.093158841,0.906841159,1.092646203,0.504037149
5,100,0.2,64,64,10,0.5,0.5,144,0.1,10,0.093407523,0.906592477,1.0800404,0.504037149
7,200,0.1,96,96,15,0.5,0.5,80,0.01,10,0.093456037,0.906543963,1.082447143,0.504037149
9,200,0.1,64,64,10,0.5,0.5,16,1,10,0.093474854,0.906525146,1.085530932,0.504037149
9,200,0.1,32,32,5,0.5,0.5,112,0.1,10,0.093574739,0.906425261,1.114564541,0.504037149
9,100,0.2,64,64,10,0.5,0.5,112,0.01,10,0.093643363,0.906356637,1.100932003,0.504037149
9,200,0.1,64,64,10,0.5,0.5,144,0.01,10,0.093666781,0.906333219,1.09549221,0.504037149
9,200,0.1,96,96,15,0.5,0.5,80,0.01,10,0.093683879,0.906316121,1.082861785,0.504037149
9,100,0.2,32,32,5,0.7,0.7,144,0.1,10,0.093776405,0.906223595,1.133692382,0.504037149
5,100,0.2,64,64,10,0.5,0.5,48,0.1,10,0.09394007,0.90605993,1.091809161,0.504037149
9,100,0.2,64,64,10,0.5,0.5,16,0.01,10,0.093984734,0.906015266,1.089567642,0.504037149
5,100,0.2,96,96,15,0.5,0.5,144,0.01,10,0.094036484,0.905963516,1.081547347,0.504037149
9,200,0.1,32,32,5,0.5,0.5,112,0.01,10,0.094050633,0.905949367,1.120329968,0.504037149
7,100,0.2,64,64,10,0.5,0.5,144,1,10,0.094127182,0.905872818,1.093614695,0.504037149
9,200,0.1,64,64,10,0.5,0.5,112,0.01,10,0.094149882,0.905850118,1.09946497,0.504037149
