max_depth_XGB,reg_lambda_XGB,reg_lambda_LGB,learning_rate_XGB,n_estimators_XGB,num_leaves_LGB,min_child_samples_LGB,subsample_XGB,colsample_bytree_XGB,subsample_LGB,colsample_bytree_LGB,max_depth_LGB,min_child_weight_XGB,max_bin_LGB,reg_alpha_XGB,reg_alpha_LGB,learning_rate_XGB,num_iterations_LGB,degree,mse,r2
7,7,2.1875,0.1,100,96,96,0.5,0.5,0.9,0.9,5,80,80,0.1,0.1,0.1,100,10,0.182127694,0.817872306
5,5,1.5625,0.1,100,128,128,0.5,0.5,0.9,0.9,5,80,80,0.01,0.01,0.05,200,10,0.182145959,0.817854041
9,9,2.8125,0.1,100,128,128,0.9,0.9,0.5,0.5,5,80,80,0.01,0.01,0.1,100,10,0.183688529,0.816311471
9,9,2.8125,0.1,100,96,96,0.7,0.7,0.7,0.7,7,112,112,0.01,0.01,0.1,100,10,0.183689006,0.816310994
7,7,2.1875,0.05,200,96,96,0.5,0.5,0.9,0.9,5,80,80,0.1,0.1,0.1,100,10,0.18428287,0.81571713
5,5,1.5625,0.1,100,64,64,0.9,0.9,0.5,0.5,7,112,112,0.01,0.01,0.05,200,10,0.184644197,0.815355803
5,5,1.5625,0.05,200,128,128,0.5,0.5,0.9,0.9,5,80,80,0.01,0.01,0.05,200,10,0.184805323,0.815194677
9,9,2.8125,0.1,100,128,128,0.9,0.9,0.5,0.5,9,144,144,0.1,0.1,0.1,100,10,0.185544256,0.814455744
7,7,2.1875,0.1,100,64,64,0.5,0.5,0.9,0.9,5,80,80,1,1,0.05,200,10,0.185716287,0.814283713
9,9,2.8125,0.1,100,64,64,0.5,0.5,0.9,0.9,5,80,80,0.1,0.1,0.05,200,10,0.185817506,0.814182494
5,5,1.5625,0.1,100,96,96,0.7,0.7,0.7,0.7,5,80,80,0.01,0.01,0.1,100,10,0.186049385,0.813950615
5,5,1.5625,0.1,100,96,96,0.5,0.5,0.9,0.9,5,80,80,0.01,0.01,0.1,100,10,0.186110618,0.813889382
9,9,2.8125,0.05,200,96,96,0.7,0.7,0.7,0.7,7,112,112,0.01,0.01,0.1,100,10,0.186284862,0.813715138
5,5,1.5625,0.1,100,128,128,0.5,0.5,0.9,0.9,5,80,80,0.01,0.01,0.1,100,10,0.186355898,0.813644102
7,7,2.1875,0.05,200,128,128,0.5,0.5,0.9,0.9,5,80,80,0.1,0.1,0.1,100,10,0.186689765,0.813310235
7,7,2.1875,0.1,100,64,64,0.5,0.5,0.9,0.9,5,80,80,1,1,0.1,100,10,0.187188944,0.812811056
5,5,1.5625,0.1,100,96,96,0.5,0.5,0.9,0.9,5,80,80,0.1,0.1,0.05,200,10,0.187383042,0.812616958
5,5,1.5625,0.05,200,96,96,0.5,0.5,0.9,0.9,5,80,80,0.01,0.01,0.1,100,10,0.18746241,0.81253759
9,9,2.8125,0.05,200,128,128,0.9,0.9,0.5,0.5,5,80,80,0.01,0.01,0.1,100,10,0.187488006,0.812511994
5,5,1.5625,0.1,100,64,64,0.5,0.5,0.9,0.9,5,80,80,1,1,0.05,200,10,0.187574005,0.812425995
7,7,2.1875,0.05,200,64,64,0.5,0.5,0.9,0.9,5,80,80,1,1,0.05,200,10,0.187936225,0.812063775
5,5,1.5625,0.05,200,64,64,0.9,0.9,0.5,0.5,7,112,112,0.01,0.01,0.05,200,10,0.188028308,0.811971692
7,7,2.1875,0.1,100,96,96,0.5,0.5,0.9,0.9,5,80,80,0.01,0.01,0.1,100,10,0.188061737,0.811938263
9,9,2.8125,0.1,100,64,64,0.5,0.5,0.9,0.9,5,80,80,1,1,0.05,200,10,0.188213845,0.811786155
9,9,2.8125,0.05,200,64,64,0.5,0.5,0.9,0.9,5,80,80,0.1,0.1,0.1,100,10,0.188259768,0.811740232
9,9,2.8125,0.1,100,128,128,0.7,0.7,0.7,0.7,5,80,80,0.1,0.1,0.1,100,10,0.18836102,0.81163898
5,5,1.5625,0.1,100,64,64,0.7,0.7,0.7,0.7,5,80,80,1,1,0.1,100,10,0.188363982,0.811636018
7,7,2.1875,0.1,100,128,128,0.5,0.5,0.9,0.9,9,144,144,0.01,0.01,0.1,100,10,0.188371756,0.811628244
9,9,2.8125,0.1,100,96,96,0.5,0.5,0.9,0.9,5,80,80,1,1,0.05,200,10,0.188377239,0.811622761
5,5,1.5625,0.1,100,64,64,0.5,0.5,0.9,0.9,5,80,80,0.01,0.01,0.1,100,10,0.188411783,0.811588217
9,9,2.8125,0.05,200,128,128,0.9,0.9,0.5,0.5,9,144,144,0.1,0.1,0.1,100,10,0.188485167,0.811514833
7,7,2.1875,0.1,100,64,64,0.5,0.5,0.9,0.9,5,80,80,0.01,0.01,0.05,200,10,0.188636846,0.811363154
7,7,2.1875,0.1,100,64,64,0.7,0.7,0.7,0.7,5,80,80,1,1,0.05,200,10,0.188689299,0.811310701
7,7,2.1875,0.1,100,128,128,0.5,0.5,0.9,0.9,5,80,80,0.1,0.1,0.1,100,10,0.188717223,0.811282777
7,7,2.1875,0.1,100,96,96,0.5,0.5,0.9,0.9,5,80,80,0.01,0.01,0.05,200,10,0.188769639,0.811230361
5,5,1.5625,0.05,200,128,128,0.5,0.5,0.9,0.9,5,80,80,0.01,0.01,0.1,100,10,0.188988059,0.811011941
9,9,2.8125,0.1,100,96,96,0.5,0.5,0.9,0.9,5,80,80,0.01,0.01,0.05,200,10,0.189006903,0.810993097
5,5,1.5625,0.1,100,64,64,0.7,0.7,0.7,0.7,5,80,80,0.01,0.01,0.05,200,10,0.189026611,0.810973389
9,9,2.8125,0.05,200,64,64,0.5,0.5,0.9,0.9,5,80,80,0.1,0.1,0.05,200,10,0.189038295,0.810961705
7,7,2.1875,0.05,200,64,64,0.5,0.5,0.9,0.9,5,80,80,1,1,0.1,100,10,0.18920087,0.81079913
7,7,2.1875,0.1,100,128,128,0.5,0.5,0.9,0.9,5,80,80,0.1,0.1,0.05,200,10,0.189253868,0.810746132
9,9,2.8125,0.1,100,64,64,0.9,0.9,0.5,0.5,5,80,80,1,1,0.1,100,10,0.189355129,0.810644871
7,7,2.1875,0.1,100,64,64,0.7,0.7,0.7,0.7,7,112,112,1,1,0.05,200,10,0.189426784,0.810573216
9,9,2.8125,0.1,100,96,96,0.5,0.5,0.9,0.9,9,144,144,1,1,0.1,100,10,0.189567684,0.810432316
5,5,1.5625,0.1,100,128,128,0.9,0.9,0.5,0.5,5,80,80,0.01,0.01,0.1,100,10,0.189626505,0.810373495
5,5,1.5625,0.05,200,96,96,0.5,0.5,0.9,0.9,5,80,80,0.1,0.1,0.05,200,10,0.189628277,0.810371723
7,7,2.1875,0.05,200,96,96,0.5,0.5,0.9,0.9,5,80,80,0.01,0.01,0.1,100,10,0.189678551,0.810321449
5,5,1.5625,0.05,200,96,96,0.7,0.7,0.7,0.7,5,80,80,0.01,0.01,0.1,100,10,0.189832378,0.810167622
9,9,2.8125,0.1,100,128,128,0.7,0.7,0.7,0.7,5,80,80,0.01,0.01,0.1,100,10,0.189915473,0.810084527
5,5,1.5625,0.1,100,128,128,0.9,0.9,0.5,0.5,5,80,80,0.1,0.1,0.1,100,10,0.189953621,0.810046379
5,5,1.5625,0.1,100,96,96,0.5,0.5,0.9,0.9,9,144,144,0.01,0.01,0.1,100,10,0.190118918,0.809881082
7,7,2.1875,0.1,100,64,64,0.5,0.5,0.9,0.9,7,112,112,1,1,0.1,100,10,0.190161614,0.809838386
5,5,1.5625,0.1,100,128,128,0.9,0.9,0.5,0.5,9,144,144,0.1,0.1,0.1,100,10,0.190231898,0.809768102
