max_depth_XGBR,reg_lambda_XGBR,n_estimators_XGBR,learning_rate_XGBR,max_depth_XGBC,reg_lambda_XGBC,subsample_XGBR,colsample_bytree_XGBR,subsample_XGBC,colsample_bytree_XGBC,min_child_weight_XGBR,min_child_weight_XGBC,reg_alpha_XGBR,reg_alpha_XGBC,n_estimators_XGBC,learning_rate_XGBR,degree,mse,r2
7,7,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,9,9,0.1,0.1,200,0.05,10,0.19046801153379148,0.8095319884662086
9,9,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,9,9,0.1,0.1,200,0.05,10,0.190705632998582,0.809294367001418
5,5,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,9,9,0.1,0.1,200,0.05,10,0.19158337073605536,0.8084166292639446
5,5,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,9,9,0.01,0.01,100,0.1,10,0.19181826738982385,0.8081817326101761
7,7,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,9,9,0.01,0.01,100,0.1,10,0.19198742535340083,0.8080125746465991
9,9,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,9,9,0.01,0.01,100,0.1,10,0.1922840275050966,0.8077159724949035
5,5,100,0.1,16,16,0.7,0.7,0.7,0.7,7,7,0.01,0.01,100,0.1,10,0.19369495264684042,0.8063050473531596
5,5,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,9,9,0.1,0.1,200,0.05,10,0.1941752383571231,0.8058247616428769
5,5,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,9,9,0.01,0.01,100,0.1,10,0.19429336302969027,0.8057066369703098
7,7,100,0.1,16,16,0.7,0.7,0.7,0.7,7,7,0.01,0.01,100,0.1,10,0.19429357827499294,0.8057064217250071
7,7,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,9,9,0.1,0.1,200,0.05,10,0.19434680571354385,0.8056531942864562
7,7,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,9,9,0.01,0.01,100,0.1,10,0.19443191498472495,0.8055680850152751
9,9,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,9,9,0.1,0.1,200,0.05,10,0.1944509620959452,0.8055490379040549
9,9,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,9,9,0.01,0.01,100,0.1,10,0.19458029179033254,0.8054197082096675
9,9,100,0.1,16,16,0.7,0.7,0.7,0.7,7,7,0.01,0.01,100,0.1,10,0.19488399477517643,0.8051160052248236
5,5,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,9,9,0.01,0.01,200,0.05,10,0.19531733471699067,0.8046826652830094
7,7,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,9,9,0.01,0.01,200,0.05,10,0.19553052725531764,0.8044694727446824
9,9,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,9,9,0.01,0.01,200,0.05,10,0.1958435552176105,0.8041564447823895
5,5,100,0.1,16,16,0.7,0.7,0.7,0.7,3,3,0.01,0.01,100,0.1,10,0.1966053439530295,0.8033946560469705
5,5,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,9,9,0.1,0.1,100,0.1,10,0.19677378080915858,0.8032262191908415
7,7,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,9,9,0.1,0.1,100,0.1,10,0.1968966225136465,0.8031033774863535
9,9,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,9,9,0.1,0.1,100,0.1,10,0.19714420392067525,0.8028557960793248
7,7,100,0.1,16,16,0.7,0.7,0.7,0.7,3,3,0.01,0.01,100,0.1,10,0.19742459793069,0.80257540206931
9,9,100,0.1,16,16,0.7,0.7,0.7,0.7,3,3,0.01,0.01,100,0.1,10,0.19777336068222484,0.8022266393177752
5,5,100,0.1,16,16,0.7,0.7,0.7,0.7,9,9,0.1,0.1,200,0.05,10,0.1979862491867959,0.8020137508132041
5,5,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,9,9,0.01,0.01,200,0.05,10,0.1979944840670847,0.8020055159329154
7,7,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,9,9,0.01,0.01,200,0.05,10,0.19806708275061918,0.8019329172493808
9,9,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,9,9,0.01,0.01,200,0.05,10,0.1982400568312579,0.8017599431687421
5,5,200,0.05,16,16,0.7,0.7,0.7,0.7,7,7,0.01,0.01,100,0.1,10,0.19832342943345854,0.8016765705665414
7,7,200,0.05,16,16,0.7,0.7,0.7,0.7,7,7,0.01,0.01,100,0.1,10,0.19856119593626462,0.8014388040637354
7,7,100,0.1,16,16,0.7,0.7,0.7,0.7,9,9,0.1,0.1,200,0.05,10,0.19863993079689365,0.8013600692031063
5,5,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,5,5,0.01,0.01,200,0.05,10,0.19872431865210205,0.801275681347898
9,9,100,0.1,16,16,0.7,0.7,0.7,0.7,9,9,0.1,0.1,200,0.05,10,0.19875880962294795,0.801241190377052
9,9,200,0.05,16,16,0.7,0.7,0.7,0.7,7,7,0.01,0.01,100,0.1,10,0.19877902222104096,0.8012209777789591
9,9,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,5,5,0.01,0.01,200,0.05,10,0.1989088901032516,0.8010911098967484
7,7,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,5,5,0.01,0.01,200,0.05,10,0.19896131794974176,0.8010386820502582
5,5,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,5,5,1.0,1.0,200,0.05,10,0.1992389420994515,0.8007610579005485
5,5,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,9,9,0.1,0.1,100,0.1,10,0.19931239896054906,0.8006876010394509
7,7,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,5,5,1.0,1.0,200,0.05,10,0.19935522875576348,0.8006447712442365
7,7,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,9,9,0.1,0.1,100,0.1,10,0.19947936305712108,0.8005206369428789
5,5,100,0.1,16,16,0.7,0.7,0.7,0.7,7,7,0.01,0.01,200,0.05,10,0.19948549306458987,0.8005145069354102
9,9,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,5,5,1.0,1.0,200,0.05,10,0.19948864333409905,0.800511356665901
9,9,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,9,9,0.1,0.1,100,0.1,10,0.19958151039276467,0.8004184896072353
5,5,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,7,7,0.01,0.01,100,0.1,10,0.1996324141265358,0.8003675858734642
7,7,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,7,7,0.01,0.01,100,0.1,10,0.1999680683639365,0.8000319316360636
9,9,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,7,7,0.01,0.01,100,0.1,10,0.20005871602636258,0.7999412839736374
7,7,100,0.1,16,16,0.7,0.7,0.7,0.7,7,7,0.01,0.01,200,0.05,10,0.20012571863666764,0.7998742813633324
5,5,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,5,5,0.1,0.1,200,0.05,10,0.2001599304345763,0.7998400695654238
9,9,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,5,5,0.1,0.1,200,0.05,10,0.20036748916455016,0.7996325108354498
7,7,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,5,5,0.1,0.1,200,0.05,10,0.20037213247765384,0.7996278675223462
9,9,100,0.1,16,16,0.7,0.7,0.7,0.7,7,7,0.01,0.01,200,0.05,10,0.20068899804429724,0.7993110019557028
5,5,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,7,7,1.0,1.0,100,0.1,10,0.20081174642772498,0.799188253572275
5,5,200,0.05,16,16,0.7,0.7,0.7,0.7,3,3,0.01,0.01,100,0.1,10,0.20091479924004105,0.7990852007599589
7,7,200,0.05,16,16,0.7,0.7,0.7,0.7,3,3,0.01,0.01,100,0.1,10,0.2011101055239144,0.7988898944760856
7,7,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,7,7,1.0,1.0,100,0.1,10,0.20116248789208027,0.7988375121079198
9,9,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,7,7,1.0,1.0,100,0.1,10,0.20125601810458685,0.7987439818954132
9,9,200,0.05,16,16,0.7,0.7,0.7,0.7,3,3,0.01,0.01,100,0.1,10,0.20130135690420298,0.798698643095797
5,5,100,0.1,16,16,0.7,0.7,0.7,0.7,9,9,0.01,0.01,200,0.05,10,0.2013684899167504,0.7986315100832496
5,5,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,7,7,0.01,0.01,200,0.05,10,0.20186349648222623,0.7981365035177738
5,5,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,7,7,0.01,0.01,100,0.1,10,0.20188955048636845,0.7981104495136315
7,7,100,0.1,16,16,0.7,0.7,0.7,0.7,9,9,0.01,0.01,200,0.05,10,0.20190624249279873,0.7980937575072012
5,5,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,5,5,1.0,1.0,200,0.05,10,0.2019152692885759,0.798084730711424
7,7,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,7,7,0.01,0.01,100,0.1,10,0.2020364774702598,0.7979635225297402
9,9,100,0.1,16,16,0.7,0.7,0.7,0.7,9,9,0.01,0.01,200,0.05,10,0.2020745262608847,0.7979254737391153
7,7,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,5,5,1.0,1.0,200,0.05,10,0.20211757668317268,0.7978824233168273
9,9,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,7,7,0.01,0.01,100,0.1,10,0.20212064157997398,0.797879358420026
9,9,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,5,5,1.0,1.0,200,0.05,10,0.2022391721735627,0.7977608278264373
5,5,100,0.1,16,16,0.7,0.7,0.7,0.7,7,7,0.1,0.1,200,0.05,10,0.20227395599984274,0.7977260440001572
9,9,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,7,7,0.01,0.01,200,0.05,10,0.20233079986350205,0.797669200136498
5,5,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,5,5,0.01,0.01,200,0.05,10,0.20258300141417526,0.7974169985858247
5,5,200,0.05,16,16,0.7,0.7,0.7,0.7,9,9,0.1,0.1,200,0.05,10,0.202684499321503,0.797315500678497
7,7,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,5,5,0.01,0.01,200,0.05,10,0.2027248992945655,0.7972751007054345
9,9,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,5,5,0.01,0.01,200,0.05,10,0.20277263056684258,0.7972273694331574
7,7,200,0.05,16,16,0.7,0.7,0.7,0.7,9,9,0.1,0.1,200,0.05,10,0.20291061786505005,0.79708938213495
5,5,100,0.1,16,16,0.7,0.7,0.7,0.7,5,5,0.1,0.1,100,0.1,10,0.20293879858498,0.79706120141502
9,9,200,0.05,16,16,0.7,0.7,0.7,0.7,9,9,0.1,0.1,200,0.05,10,0.20295378643904496,0.7970462135609551
7,7,100,0.1,16,16,0.7,0.7,0.7,0.7,7,7,0.1,0.1,200,0.05,10,0.20302105885240046,0.7969789411475996
5,5,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,7,7,1.0,1.0,100,0.1,10,0.20304693798630585,0.7969530620136942
7,7,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,3,3,0.1,0.1,100,0.1,10,0.20313084113167562,0.7968691588683243
5,5,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,5,5,0.1,0.1,100,0.1,10,0.2032052538562378,0.7967947461437622
7,7,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,7,7,1.0,1.0,100,0.1,10,0.2032815032910442,0.7967184967089558
9,9,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,7,7,1.0,1.0,100,0.1,10,0.20335207715880976,0.7966479228411902
9,9,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,5,5,0.1,0.1,100,0.1,10,0.20344216466006582,0.7965578353399342
7,7,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,5,5,0.1,0.1,100,0.1,10,0.20346179279077045,0.7965382072092295
9,9,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,3,3,0.1,0.1,100,0.1,10,0.2035249021206636,0.7964750978793365
5,5,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,7,7,1.0,1.0,200,0.05,10,0.203576496084037,0.7964235039159631
9,9,100,0.1,16,16,0.7,0.7,0.7,0.7,7,7,0.1,0.1,200,0.05,10,0.20362637732514652,0.7963736226748535
7,7,100,0.1,16,16,0.7,0.7,0.7,0.7,5,5,0.1,0.1,100,0.1,10,0.20364208449174345,0.7963579155082565
9,9,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,7,7,1.0,1.0,200,0.05,10,0.20402508101241298,0.795974918987587
9,9,100,0.1,16,16,0.7,0.7,0.7,0.7,5,5,0.1,0.1,100,0.1,10,0.20413203733089294,0.7958679626691071
5,5,200,0.05,16,16,0.7,0.7,0.7,0.7,7,7,0.01,0.01,200,0.05,10,0.20419910223246485,0.7958008977675352
7,7,200,0.05,16,16,0.7,0.7,0.7,0.7,7,7,0.01,0.01,200,0.05,10,0.20441685446390348,0.7955831455360965
9,9,200,0.05,16,16,0.7,0.7,0.7,0.7,7,7,0.01,0.01,200,0.05,10,0.2046464659797541,0.7953535340202459
5,5,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,9,9,1.0,1.0,200,0.05,10,0.2047362846888453,0.7952637153111547
9,9,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,9,9,1.0,1.0,200,0.05,10,0.204988407022021,0.795011592977979
7,7,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,9,9,1.0,1.0,200,0.05,10,0.20506357150445614,0.7949364284955438
5,5,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,5,5,0.1,0.1,100,0.1,10,0.2054754066324455,0.7945245933675544
7,7,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,5,5,0.1,0.1,100,0.1,10,0.2056115229095628,0.7943884770904373
5,5,100,0.1,16,16,0.7,0.7,0.7,0.7,7,7,0.1,0.1,100,0.1,10,0.2056381949581531,0.7943618050418468
9,9,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,5,5,0.1,0.1,100,0.1,10,0.20570310865401983,0.7942968913459801
5,5,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,3,3,0.1,0.1,100,0.1,10,0.20579557059403283,0.7942044294059671
5,5,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,3,3,0.01,0.01,100,0.1,10,0.20584826820595659,0.7941517317940434
7,7,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,3,3,0.01,0.01,100,0.1,10,0.2058679438853961,0.7941320561146039
7,7,100,0.1,16,16,0.7,0.7,0.7,0.7,3,3,0.1,0.1,100,0.1,10,0.20598551125571088,0.7940144887442891
5,5,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,3,3,0.1,0.1,100,0.1,10,0.2060185514161912,0.7939814485838088
7,7,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,3,3,0.1,0.1,100,0.1,10,0.20616046524888504,0.7938395347511149
9,9,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,3,3,0.01,0.01,100,0.1,10,0.20627299661908516,0.7937270033809148
9,9,100,0.1,16,16,0.7,0.7,0.7,0.7,3,3,0.1,0.1,100,0.1,10,0.20627930247953014,0.7937206975204698
5,5,200,0.05,16,16,0.7,0.7,0.7,0.7,9,9,0.01,0.01,200,0.05,10,0.20629660196763341,0.7937033980323666
5,5,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,3,3,1.0,1.0,200,0.05,10,0.2063203104745028,0.7936796895254972
9,9,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,3,3,0.01,0.01,100,0.1,10,0.20636425505646222,0.7936357449435378
9,9,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,3,3,0.1,0.1,100,0.1,10,0.206364413802342,0.7936355861976581
5,5,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,5,5,1.0,1.0,100,0.1,10,0.20648472062919299,0.793515279370807
7,7,200,0.05,16,16,0.7,0.7,0.7,0.7,9,9,0.01,0.01,200,0.05,10,0.20651152500529837,0.7934884749947017
7,7,100,0.1,16,16,0.7,0.7,0.7,0.7,7,7,0.1,0.1,100,0.1,10,0.20654194972749979,0.7934580502725002
9,9,200,0.05,16,16,0.7,0.7,0.7,0.7,9,9,0.01,0.01,200,0.05,10,0.2065812446284055,0.7934187553715946
5,5,100,0.1,16,16,0.7,0.7,0.7,0.7,5,5,0.1,0.1,200,0.05,10,0.20659379880247428,0.7934062011975257
