max_depth_XGB,reg_lambda_XGB,n_estimators_XGB,learning_rate_XGB,subsample_XGB,colsample_bytree_XGB,min_child_weight_XGB,reg_alpha_XGB,degree,mse,r2
9,9,100,0.1,0.9,0.9,16,0.1,10,0.200707657,0.799292343
9,9,100,0.1,0.9,0.9,16,0.01,10,0.200769882,0.799230118
7,7,100,0.1,0.9,0.9,16,0.01,10,0.200799799,0.799200201
5,5,100,0.1,0.9,0.9,16,0.01,10,0.200799909,0.799200091
7,7,100,0.1,0.9,0.9,16,0.1,10,0.200802733,0.799197267
7,7,100,0.1,0.9,0.9,16,1,10,0.200808823,0.799191177
5,5,100,0.1,0.9,0.9,16,0.1,10,0.20088712,0.79911288
5,5,100,0.1,0.9,0.9,48,0.01,10,0.200973111,0.799026889
5,5,100,0.1,0.9,0.9,16,1,10,0.200985882,0.799014118
5,5,100,0.1,0.9,0.9,48,0.1,10,0.200989048,0.799010952
9,9,100,0.1,0.9,0.9,16,1,10,0.201174105,0.798825895
7,7,100,0.1,0.9,0.9,48,0.1,10,0.20129303,0.79870697
7,7,100,0.1,0.9,0.9,48,1,10,0.201305631,0.798694369
5,5,100,0.1,0.9,0.9,48,1,10,0.201308723,0.798691277
7,7,100,0.1,0.9,0.9,48,0.01,10,0.20132155,0.79867845
9,9,100,0.1,0.9,0.9,48,0.1,10,0.201387801,0.798612199
9,9,100,0.1,0.9,0.9,48,0.01,10,0.201390568,0.798609432
9,9,100,0.1,0.9,0.9,48,1,10,0.201599462,0.798400538
5,5,100,0.1,0.7,0.7,16,0.01,10,0.201966587,0.798033413
5,5,100,0.1,0.7,0.7,16,0.1,10,0.201988049,0.798011951
7,7,100,0.1,0.7,0.7,16,0.01,10,0.202240031,0.797759969
3,3,100,0.1,0.7,0.7,144,0.01,10,0.202311153,0.797688847
3,3,100,0.1,0.7,0.7,144,0.1,10,0.202311607,0.797688393
7,7,100,0.1,0.7,0.7,16,0.1,10,0.202322645,0.797677355
5,5,100,0.1,0.9,0.9,80,0.01,10,0.202327904,0.797672096
5,5,100,0.1,0.7,0.7,16,1,10,0.202337658,0.797662342
5,5,100,0.1,0.9,0.9,80,0.1,10,0.202353625,0.797646375
5,5,100,0.1,0.7,0.7,144,0.01,10,0.202424443,0.797575557
5,5,100,0.1,0.7,0.7,144,0.1,10,0.202429477,0.797570523
5,5,100,0.1,0.7,0.7,144,1,10,0.202430999,0.797569001
3,3,100,0.1,0.7,0.7,144,1,10,0.20245361,0.79754639
9,9,100,0.1,0.7,0.7,144,1,10,0.202483126,0.797516874
7,7,100,0.1,0.7,0.7,144,0.01,10,0.20248373,0.79751627
9,9,100,0.1,0.7,0.7,144,0.01,10,0.20249082,0.79750918
9,9,100,0.1,0.7,0.7,144,0.1,10,0.202493777,0.797506223
7,7,100,0.1,0.7,0.7,144,0.1,10,0.202496563,0.797503437
7,7,100,0.1,0.7,0.7,144,1,10,0.202515943,0.797484057
5,5,100,0.1,0.9,0.9,80,1,10,0.202529856,0.797470144
7,7,100,0.1,0.7,0.7,16,1,10,0.202547931,0.797452069
7,7,100,0.1,0.9,0.9,80,0.1,10,0.20260344,0.79739656
7,7,100,0.1,0.9,0.9,80,0.01,10,0.202607126,0.797392874
9,9,100,0.1,0.7,0.7,16,0.01,10,0.202623922,0.797376078
9,9,100,0.1,0.7,0.7,16,0.1,10,0.202642524,0.797357476
7,7,100,0.1,0.9,0.9,80,1,10,0.202646754,0.797353246
9,9,100,0.1,0.9,0.9,80,0.1,10,0.202666464,0.797333536
9,9,100,0.1,0.9,0.9,80,0.01,10,0.202691936,0.797308064
9,9,100,0.1,0.7,0.7,16,1,10,0.202763461,0.797236539
9,9,100,0.1,0.9,0.9,80,1,10,0.202777868,0.797222132
5,5,100,0.1,0.7,0.7,48,0.01,10,0.202866225,0.797133775
5,5,100,0.1,0.7,0.7,48,0.1,10,0.20292694,0.79707306
7,7,100,0.1,0.7,0.7,48,0.1,10,0.203131943,0.796868057
5,5,100,0.1,0.7,0.7,48,1,10,0.203137307,0.796862693
7,7,100,0.1,0.7,0.7,48,0.01,10,0.203174,0.796826
7,7,100,0.1,0.7,0.7,48,1,10,0.20323774,0.79676226
5,5,200,0.05,0.9,0.9,80,0.01,10,0.203278151,0.796721849
5,5,200,0.05,0.9,0.9,80,0.1,10,0.203286042,0.796713958
9,9,100,0.1,0.7,0.7,48,1,10,0.203366547,0.796633453
9,9,100,0.1,0.7,0.7,48,0.01,10,0.203384665,0.796615335
9,9,100,0.1,0.7,0.7,48,0.1,10,0.203393613,0.796606387
5,5,200,0.05,0.7,0.7,16,0.01,10,0.203448823,0.796551177
5,5,200,0.05,0.7,0.7,16,0.1,10,0.20345259,0.79654741
7,7,200,0.05,0.7,0.7,16,0.01,10,0.203465576,0.796534424
