max_depth_XGB,reg_lambda_XGB,n_estimators_XGB,n_estimators_random,learning_rate_XGB,min_samples_split_random,min_samples_leaf_random,subsample_XGB,colsample_bytree_XGB,max_features_random,max_samples_random,max_depth_random,min_child_weight_XGB,reg_alpha_XGB,degree,mse,r2
3,3,100,100,0.1,16,16,0.5,0.5,0.9,0.9,9,144,0.1,10,0.409414144,0.590585856
3,3,100,100,0.1,16,16,0.5,0.5,0.9,0.9,9,144,0.01,10,0.409418357,0.590581643
5,5,100,100,0.1,16,16,0.5,0.5,0.9,0.9,9,144,0.01,10,0.409453555,0.590546445
5,5,100,100,0.1,16,16,0.5,0.5,0.9,0.9,9,144,0.1,10,0.409456061,0.590543939
3,3,100,100,0.1,16,16,0.5,0.5,0.9,0.9,9,144,1,10,0.409461917,0.590538083
5,5,100,100,0.1,16,16,0.5,0.5,0.9,0.9,9,144,1,10,0.409540444,0.590459556
7,7,100,100,0.1,16,16,0.5,0.5,0.9,0.9,9,144,0.01,10,0.409657554,0.590342446
7,7,100,100,0.1,16,16,0.5,0.5,0.9,0.9,9,144,0.1,10,0.40966343,0.59033657
9,9,100,100,0.1,16,16,0.5,0.5,0.9,0.9,9,144,1,10,0.409751334,0.590248666
7,7,100,100,0.1,16,16,0.5,0.5,0.9,0.9,9,144,1,10,0.409760536,0.590239464
9,9,100,100,0.1,16,16,0.5,0.5,0.9,0.9,9,144,0.1,10,0.409766738,0.590233262
9,9,100,100,0.1,16,16,0.5,0.5,0.9,0.9,9,144,0.01,10,0.409772146,0.590227854
3,3,100,100,0.1,16,16,0.5,0.5,0.9,0.9,7,112,0.1,10,0.416287289,0.583712711
3,3,100,100,0.1,16,16,0.5,0.5,0.9,0.9,7,112,0.01,10,0.41629272,0.58370728
3,3,100,100,0.1,16,16,0.5,0.5,0.9,0.9,7,112,1,10,0.416379433,0.583620567
5,5,100,100,0.1,16,16,0.5,0.5,0.9,0.9,7,112,0.01,10,0.41640091,0.58359909
5,5,100,100,0.1,16,16,0.5,0.5,0.9,0.9,7,112,0.1,10,0.416408176,0.583591824
5,5,100,100,0.1,16,16,0.5,0.5,0.9,0.9,7,112,1,10,0.416475821,0.583524179
7,7,100,100,0.1,16,16,0.5,0.5,0.9,0.9,7,112,0.01,10,0.416647124,0.583352876
7,7,100,100,0.1,16,16,0.5,0.5,0.9,0.9,7,112,0.1,10,0.416650002,0.583349998
7,7,100,100,0.1,16,16,0.5,0.5,0.9,0.9,7,112,1,10,0.416805543,0.583194457
9,9,100,100,0.1,16,16,0.5,0.5,0.9,0.9,7,112,0.1,10,0.416826919,0.583173081
9,9,100,100,0.1,16,16,0.5,0.5,0.9,0.9,7,112,0.01,10,0.416871571,0.583128429
9,9,100,100,0.1,16,16,0.5,0.5,0.9,0.9,7,112,1,10,0.416927951,0.583072049
3,3,200,200,0.05,16,16,0.5,0.5,0.9,0.9,9,144,0.01,10,0.417920061,0.582079939
3,3,200,200,0.05,16,16,0.5,0.5,0.9,0.9,9,144,0.1,10,0.417925662,0.582074338
3,3,200,200,0.05,16,16,0.5,0.5,0.9,0.9,9,144,1,10,0.417949701,0.582050299
5,5,200,200,0.05,16,16,0.5,0.5,0.9,0.9,9,144,0.01,10,0.417965905,0.582034095
5,5,200,200,0.05,16,16,0.5,0.5,0.9,0.9,9,144,0.1,10,0.417969201,0.582030799
5,5,200,200,0.05,16,16,0.5,0.5,0.9,0.9,9,144,1,10,0.417998803,0.582001197
7,7,200,200,0.05,16,16,0.5,0.5,0.9,0.9,9,144,0.01,10,0.418049459,0.581950541
7,7,200,200,0.05,16,16,0.5,0.5,0.9,0.9,9,144,0.1,10,0.418055368,0.581944632
7,7,200,200,0.05,16,16,0.5,0.5,0.9,0.9,9,144,1,10,0.418105211,0.581894789
9,9,200,200,0.05,16,16,0.5,0.5,0.9,0.9,9,144,0.1,10,0.418132548,0.581867452
9,9,200,200,0.05,16,16,0.5,0.5,0.9,0.9,9,144,0.01,10,0.418134226,0.581865774
9,9,200,200,0.05,16,16,0.5,0.5,0.9,0.9,9,144,1,10,0.418139729,0.581860271
3,3,200,200,0.05,16,16,0.5,0.5,0.9,0.9,7,112,0.01,10,0.42255587,0.57744413
3,3,200,200,0.05,16,16,0.5,0.5,0.9,0.9,7,112,0.1,10,0.422563981,0.577436019
3,3,200,200,0.05,16,16,0.5,0.5,0.9,0.9,7,112,1,10,0.422617695,0.577382305
5,5,200,200,0.05,16,16,0.5,0.5,0.9,0.9,7,112,0.01,10,0.422641776,0.577358224
5,5,200,200,0.05,16,16,0.5,0.5,0.9,0.9,7,112,0.1,10,0.422643544,0.577356456
5,5,200,200,0.05,16,16,0.5,0.5,0.9,0.9,7,112,1,10,0.422681347,0.577318653
7,7,200,200,0.05,16,16,0.5,0.5,0.9,0.9,7,112,0.01,10,0.422743072,0.577256928
7,7,200,200,0.05,16,16,0.5,0.5,0.9,0.9,7,112,0.1,10,0.42275064,0.57724936
7,7,200,200,0.05,16,16,0.5,0.5,0.9,0.9,7,112,1,10,0.422847302,0.577152698
9,9,200,200,0.05,16,16,0.5,0.5,0.9,0.9,7,112,0.1,10,0.422866655,0.577133345
9,9,200,200,0.05,16,16,0.5,0.5,0.9,0.9,7,112,0.01,10,0.422892067,0.577107933
9,9,200,200,0.05,16,16,0.5,0.5,0.9,0.9,7,112,1,10,0.4229106,0.5770894
3,3,100,100,0.1,32,32,0.5,0.5,0.9,0.9,7,112,0.1,10,0.425363218,0.574636782
3,3,100,100,0.1,32,32,0.5,0.5,0.9,0.9,7,112,0.01,10,0.425369473,0.574630527
3,3,100,100,0.1,32,32,0.5,0.5,0.9,0.9,7,112,1,10,0.425460469,0.574539531
5,5,100,100,0.1,32,32,0.5,0.5,0.9,0.9,7,112,0.01,10,0.425479188,0.574520812
5,5,100,100,0.1,32,32,0.5,0.5,0.9,0.9,7,112,0.1,10,0.42548397,0.57451603
5,5,100,100,0.1,32,32,0.5,0.5,0.9,0.9,7,112,1,10,0.42555432,0.57444568
7,7,100,100,0.1,32,32,0.5,0.5,0.9,0.9,7,112,0.01,10,0.425725332,0.574274668
7,7,100,100,0.1,32,32,0.5,0.5,0.9,0.9,7,112,0.1,10,0.425728685,0.574271315
