max_depth_XGB,reg_lambda_XGB,n_estimators_XGB,learning_rate_XGB,penalty_逻辑回归,subsample_XGB,colsample_bytree_XGB,min_child_weight_XGB,reg_alpha_XGB,C_逻辑回归,degree,mse,r2
9,9,100,0.1,l2,0.9,0.9,16,0.1,1.0,10,0.16782258508055384,0.8321774149194462
7,7,100,0.1,l2,0.9,0.9,16,0.1,1.0,10,0.16798543758559742,0.8320145624144026
5,5,100,0.1,l2,0.7,0.7,16,0.1,1.0,10,0.16803329235919937,0.8319667076408006
5,5,100,0.1,l2,0.9,0.9,48,0.1,1.0,10,0.16818294350694726,0.8318170564930527
7,7,100,0.1,l2,0.7,0.7,16,0.1,1.0,10,0.16818822646306994,0.83181177353693
5,5,100,0.1,l2,0.9,0.9,16,0.1,1.0,10,0.16824026697320188,0.8317597330267981
9,9,100,0.1,l2,0.7,0.7,16,0.1,1.0,10,0.1683125367523101,0.8316874632476899
5,5,100,0.1,l2,0.9,0.9,80,0.1,1.0,10,0.16837362530197839,0.8316263746980216
7,7,100,0.1,l2,0.9,0.9,48,0.1,1.0,10,0.16841359182062965,0.8315864081793704
9,9,100,0.1,l2,0.9,0.9,80,0.1,1.0,10,0.16846870481956272,0.8315312951804372
7,7,100,0.1,l2,0.9,0.9,80,0.1,1.0,10,0.16848534971592027,0.8315146502840798
9,9,100,0.1,l1,0.9,0.9,16,1.0,10.0,10,0.168503133766006,0.831496866233994
7,7,100,0.1,l1,0.9,0.9,16,1.0,10.0,10,0.16864576019752367,0.8313542398024764
9,9,100,0.1,l1,0.9,0.9,16,0.1,1.0,10,0.16865581169440305,0.831344188305597
9,9,100,0.1,l2,0.9,0.9,16,1.0,10.0,10,0.16872984488894938,0.8312701551110506
5,5,100,0.1,l1,0.7,0.7,16,1.0,10.0,10,0.16875905513505166,0.8312409448649484
5,5,100,0.1,l1,0.7,0.7,16,0.1,1.0,10,0.1687977503931574,0.8312022496068426
5,5,100,0.1,l1,0.9,0.9,16,1.0,10.0,10,0.1688256369699922,0.8311743630300078
7,7,100,0.1,l2,0.9,0.9,16,1.0,10.0,10,0.1688552902306281,0.8311447097693719
5,5,100,0.1,l1,0.9,0.9,48,1.0,10.0,10,0.1688752459989679,0.8311247540010321
7,7,100,0.1,l1,0.9,0.9,16,0.1,1.0,10,0.16888002135989877,0.8311199786401012
9,9,100,0.1,l1,0.9,0.9,80,1.0,10.0,10,0.16896816165336861,0.8310318383466314
7,7,100,0.1,l1,0.9,0.9,144,0.1,1.0,10,0.16897478709689578,0.8310252129031042
9,9,100,0.1,l1,0.9,0.9,48,1.0,10.0,10,0.16898218479469684,0.8310178152053032
7,7,100,0.1,l1,0.7,0.7,16,0.1,1.0,10,0.16898286591967526,0.8310171340803247
7,7,100,0.1,l1,0.7,0.7,16,1.0,10.0,10,0.1689906136830737,0.8310093863169263
5,5,100,0.1,l1,0.9,0.9,80,1.0,10.0,10,0.16900786828252223,0.8309921317174778
9,9,100,0.1,l1,0.9,0.9,144,0.1,1.0,10,0.16900981098789256,0.8309901890121074
3,3,100,0.1,l1,0.9,0.9,144,0.1,1.0,10,0.16903087541288508,0.8309691245871149
5,5,100,0.1,l1,0.9,0.9,112,1.0,10.0,10,0.1690340869486407,0.8309659130513594
5,5,100,0.1,l1,0.9,0.9,112,0.1,1.0,10,0.16904734282302045,0.8309526571769795
7,7,100,0.1,l1,0.9,0.9,48,1.0,10.0,10,0.16904891973372102,0.830951080266279
5,5,100,0.1,l1,0.9,0.9,144,0.1,1.0,10,0.16905151080268033,0.8309484891973197
5,5,100,0.1,l2,0.7,0.7,16,1.0,10.0,10,0.16906262797964144,0.8309373720203586
5,5,100,0.1,l2,0.9,0.9,16,1.0,10.0,10,0.16906836077126913,0.8309316392287309
7,7,100,0.1,l1,0.9,0.9,112,1.0,10.0,10,0.16907570598562321,0.8309242940143768
7,7,100,0.1,l1,0.9,0.9,112,0.1,1.0,10,0.16907571101613317,0.8309242889838668
9,9,100,0.1,l1,0.9,0.9,112,1.0,10.0,10,0.16907879744220514,0.8309212025577949
9,9,100,0.1,l1,0.9,0.9,112,0.1,1.0,10,0.16908609067534294,0.830913909324657
9,9,100,0.1,l1,0.7,0.7,16,0.1,1.0,10,0.16911298287767582,0.8308870171223242
5,5,100,0.1,l2,0.9,0.9,48,1.0,10.0,10,0.16912376638377757,0.8308762336162224
5,5,100,0.1,l1,0.9,0.9,48,0.1,1.0,10,0.16912894451189792,0.830871055488102
5,5,100,0.1,l1,0.9,0.9,144,1.0,10.0,10,0.16913139135705357,0.8308686086429464
5,5,100,0.1,l1,0.9,0.9,16,0.1,1.0,10,0.16913336811725346,0.8308666318827466
7,7,100,0.1,l1,0.9,0.9,80,1.0,10.0,10,0.16913724974027336,0.8308627502597267
7,7,100,0.1,l1,0.9,0.9,144,1.0,10.0,10,0.1691386808687582,0.8308613191312418
9,9,100,0.1,l1,0.7,0.7,16,1.0,10.0,10,0.1691440548243268,0.8308559451756732
9,9,100,0.1,l1,0.9,0.9,144,1.0,10.0,10,0.16916099119857847,0.8308390088014215
5,5,100,0.1,l1,0.9,0.9,80,0.1,1.0,10,0.16920329421898297,0.830796705781017
9,9,100,0.1,l2,0.9,0.9,80,1.0,10.0,10,0.16921238692319113,0.8307876130768088
5,5,100,0.1,l2,0.9,0.9,112,1.0,10.0,10,0.1692342532631139,0.8307657467368861
3,3,100,0.1,l1,0.9,0.9,112,0.1,1.0,10,0.16923498704060225,0.8307650129593978
3,3,100,0.1,l1,0.9,0.9,144,1.0,10.0,10,0.16923582604378642,0.8307641739562136
9,9,100,0.1,l2,0.9,0.9,48,1.0,10.0,10,0.16923654682456346,0.8307634531754365
5,5,100,0.1,l2,0.9,0.9,80,1.0,10.0,10,0.16925615816837739,0.8307438418316226
7,7,100,0.1,l2,0.9,0.9,112,1.0,10.0,10,0.16927609637403293,0.830723903625967
3,3,100,0.1,l1,0.9,0.9,112,1.0,10.0,10,0.1692780238810479,0.8307219761189522
9,9,100,0.1,l2,0.9,0.9,112,1.0,10.0,10,0.16928161001210618,0.8307183899878938
3,3,100,0.1,l1,0.9,0.9,80,1.0,10.0,10,0.16929129471494248,0.8307087052850575
7,7,100,0.1,l2,0.7,0.7,16,1.0,10.0,10,0.16929945989788284,0.8307005401021171
7,7,100,0.1,l2,0.9,0.9,48,1.0,10.0,10,0.16930097367697802,0.830699026323022
5,5,100,0.1,l1,0.7,0.7,48,1.0,10.0,10,0.1693010136271709,0.8306989863728291
3,3,100,0.1,l1,0.9,0.9,16,1.0,10.0,10,0.169301482119763,0.830698517880237
9,9,100,0.1,l1,0.9,0.9,48,0.1,1.0,10,0.16930433714456225,0.8306956628554377
7,7,100,0.1,l1,0.9,0.9,48,0.1,1.0,10,0.16930652759572498,0.830693472404275
9,9,100,0.1,l1,0.9,0.9,80,0.1,1.0,10,0.1693123293437888,0.8306876706562112
7,7,100,0.1,l1,0.9,0.9,80,0.1,1.0,10,0.1693382207607266,0.8306617792392734
5,5,100,0.1,l1,0.7,0.7,48,0.1,1.0,10,0.16934880558098553,0.8306511944190145
7,7,100,0.1,l2,0.9,0.9,80,1.0,10.0,10,0.16938462222226772,0.8306153777777323
3,3,100,0.1,l1,0.9,0.9,48,1.0,10.0,10,0.1693919787639161,0.8306080212360839
5,5,100,0.1,l2,0.9,0.9,144,1.0,10.0,10,0.16941685543887558,0.8305831445611245
7,7,100,0.1,l2,0.9,0.9,144,1.0,10.0,10,0.16941773200696494,0.830582267993035
