num_leaves_LGB,min_child_samples_LGB,max_depth_random,max_depth_LGB,n_estimators_random,learning_rate_LGB,num_iterations_LGB,reg_lambda_LGB,min_samples_split_random,max_features_random,max_samples_random,subsample_LGB,colsample_bytree_LGB,min_samples_leaf_random,max_bin_LGB,reg_alpha_LGB,degree,mse,r2
14,14,3,3,100,0.1,200,3,48,0.5,0.5,0.9,0.9,5,80,1,10,0.148959508,0.851040492
10,10,5,5,50,0.2,100,3,48,0.9,0.9,0.5,0.5,5,80,1,10,0.149634262,0.850365738
10,10,5,5,100,0.1,200,3,48,0.5,0.5,0.9,0.9,5,80,0.1,10,0.151078961,0.848921039
10,10,5,5,100,0.1,200,3,48,0.7,0.7,0.7,0.7,5,80,1,10,0.151121003,0.848878997
14,14,3,3,100,0.1,200,5,80,0.5,0.5,0.9,0.9,7,112,0.1,10,0.151496352,0.848503648
10,10,5,5,100,0.1,200,1,16,0.9,0.9,0.5,0.5,5,80,1,10,0.151683176,0.848316824
14,14,3,3,100,0.1,200,5,80,0.7,0.7,0.7,0.7,5,80,1,10,0.15198446,0.84801554
14,14,3,3,100,0.1,200,5,80,0.7,0.7,0.7,0.7,5,80,0.01,10,0.15223021,0.84776979
10,10,5,5,100,0.1,200,1,16,0.7,0.7,0.7,0.7,5,80,1,10,0.152422936,0.847577064
10,10,5,5,100,0.1,200,3,48,0.5,0.5,0.9,0.9,5,80,1,10,0.152518816,0.847481184
10,10,5,5,50,0.2,100,1,16,0.9,0.9,0.5,0.5,7,112,1,10,0.152630169,0.847369831
14,14,3,3,100,0.1,200,3,48,0.5,0.5,0.9,0.9,5,80,0.1,10,0.153315175,0.846684825
10,10,5,5,100,0.1,200,1,16,0.7,0.7,0.7,0.7,5,80,0.1,10,0.154007171,0.845992829
10,10,5,5,100,0.1,200,3,48,0.9,0.9,0.5,0.5,5,80,0.01,10,0.154027817,0.845972183
14,14,3,3,100,0.1,200,5,80,0.7,0.7,0.7,0.7,5,80,0.1,10,0.154266377,0.845733623
14,14,3,3,100,0.1,200,5,80,0.5,0.5,0.9,0.9,9,144,1,10,0.154378835,0.845621165
10,10,5,5,50,0.2,100,1,16,0.7,0.7,0.7,0.7,5,80,1,10,0.154886085,0.845113915
10,10,5,5,50,0.2,100,1,16,0.9,0.9,0.5,0.5,5,80,0.01,10,0.155150484,0.844849516
10,10,5,5,100,0.1,200,5,80,0.5,0.5,0.9,0.9,5,80,0.01,10,0.155559575,0.844440425
10,10,5,5,100,0.1,200,5,80,0.9,0.9,0.5,0.5,5,80,0.1,10,0.15577611,0.84422389
14,14,3,3,100,0.1,200,3,48,0.5,0.5,0.9,0.9,7,112,0.1,10,0.155943854,0.844056146
14,14,3,3,100,0.1,200,1,16,0.7,0.7,0.7,0.7,7,112,0.01,10,0.156107629,0.843892371
10,10,5,5,50,0.2,100,5,80,0.9,0.9,0.5,0.5,5,80,1,10,0.156153781,0.843846219
10,10,5,5,100,0.1,200,1,16,0.9,0.9,0.5,0.5,5,80,0.1,10,0.156224125,0.843775875
10,10,5,5,100,0.1,200,3,48,0.7,0.7,0.7,0.7,5,80,0.1,10,0.156443414,0.843556586
10,10,5,5,100,0.1,200,3,48,0.7,0.7,0.7,0.7,7,112,0.01,10,0.156497229,0.843502771
10,10,5,5,100,0.1,200,3,48,0.9,0.9,0.5,0.5,5,80,1,10,0.156884972,0.843115028
14,14,3,3,100,0.1,200,1,16,0.7,0.7,0.7,0.7,5,80,0.1,10,0.156943425,0.843056575
14,14,3,3,50,0.2,100,3,48,0.5,0.5,0.9,0.9,5,80,1,10,0.157005486,0.842994514
10,10,5,5,100,0.1,200,3,48,0.9,0.9,0.5,0.5,7,112,0.01,10,0.157099954,0.842900046
14,14,3,3,100,0.1,200,1,16,0.7,0.7,0.7,0.7,5,80,0.01,10,0.157124116,0.842875884
10,10,5,5,100,0.1,200,3,48,0.9,0.9,0.5,0.5,5,80,0.1,10,0.157320994,0.842679006
10,10,5,5,50,0.2,100,3,48,0.5,0.5,0.9,0.9,5,80,1,10,0.157631738,0.842368262
14,14,3,3,100,0.1,200,1,16,0.5,0.5,0.9,0.9,7,112,0.01,10,0.157742937,0.842257063
10,10,5,5,100,0.1,200,5,80,0.9,0.9,0.5,0.5,7,112,1,10,0.157907356,0.842092644
10,10,5,5,100,0.1,200,1,16,0.9,0.9,0.5,0.5,5,80,0.01,10,0.158034428,0.841965572
14,14,3,3,100,0.1,200,5,80,0.5,0.5,0.9,0.9,3,48,0.01,10,0.158274939,0.841725061
14,14,3,3,100,0.1,200,1,16,0.5,0.5,0.9,0.9,5,80,0.1,10,0.158338655,0.841661345
10,10,5,5,100,0.1,200,5,80,0.7,0.7,0.7,0.7,5,80,0.1,10,0.158471455,0.841528545
10,10,5,5,100,0.1,200,1,16,0.7,0.7,0.7,0.7,7,112,1,10,0.158484871,0.841515129
14,14,3,3,50,0.2,100,3,48,0.5,0.5,0.9,0.9,7,112,0.01,10,0.158552166,0.841447834
10,10,5,5,100,0.1,200,3,48,0.5,0.5,0.9,0.9,7,112,0.1,10,0.158595882,0.841404118
10,10,5,5,100,0.1,200,3,48,0.5,0.5,0.9,0.9,5,80,0.01,10,0.158810488,0.841189512
10,10,5,5,100,0.1,200,5,80,0.5,0.5,0.9,0.9,7,112,0.01,10,0.158926311,0.841073689
10,10,5,5,100,0.1,200,1,16,0.9,0.9,0.5,0.5,7,112,1,10,0.158946586,0.841053414
10,10,5,5,100,0.1,200,5,80,0.5,0.5,0.9,0.9,3,48,0.1,10,0.159102372,0.840897628
14,14,3,3,100,0.1,200,1,16,0.7,0.7,0.7,0.7,5,80,1,10,0.159299228,0.840700772
10,10,5,5,50,0.2,100,5,80,0.9,0.9,0.5,0.5,5,80,0.1,10,0.159368336,0.840631664
10,10,5,5,100,0.1,200,1,16,0.7,0.7,0.7,0.7,5,80,0.01,10,0.15948244,0.84051756
14,14,3,3,100,0.1,200,3,48,0.7,0.7,0.7,0.7,5,80,0.1,10,0.15953926,0.84046074
10,10,5,5,100,0.1,200,5,80,0.9,0.9,0.5,0.5,5,80,0.01,10,0.159567148,0.840432852
10,10,5,5,50,0.2,100,5,80,0.7,0.7,0.7,0.7,9,144,0.1,10,0.1596327,0.8403673
10,10,5,5,100,0.1,200,1,16,0.9,0.9,0.5,0.5,7,112,0.01,10,0.159663159,0.840336841
10,10,5,5,50,0.2,100,3,48,0.9,0.9,0.5,0.5,3,48,0.1,10,0.1597506,0.8402494
10,10,5,5,100,0.1,200,5,80,0.5,0.5,0.9,0.9,9,144,0.01,10,0.159784469,0.840215531
10,10,5,5,50,0.2,100,3,48,0.9,0.9,0.5,0.5,5,80,0.01,10,0.159806093,0.840193907
14,14,3,3,100,0.1,200,3,48,0.7,0.7,0.7,0.7,9,144,1,10,0.159865885,0.840134115
