min_samples_split_randomc,n_estimators_randomr,n_estimators_randomc,max_depth_randomr,max_depth_randomc,min_samples_split_randomr,max_features_randomr,max_samples_randomr,max_features_randomc,max_samples_randomc,min_samples_leaf_randomr,min_samples_leaf_randomc,degree,mse,r2
16,100,50,9,9,16,0.9,0.9,0.4999999999999999,0.4999999999999999,5,5,10,0.16621314551319769,0.8337868544868023
16,100,50,9,9,16,0.7,0.7,0.7,0.7,7,7,10,0.1679244070564664,0.8320755929435336
16,50,100,9,9,16,0.5,0.5,0.8999999999999999,0.8999999999999999,7,7,10,0.16795289256933724,0.8320471074306628
16,50,100,9,9,16,0.9,0.9,0.4999999999999999,0.4999999999999999,5,5,10,0.168082028804464,0.831917971195536
48,100,50,9,9,16,0.9,0.9,0.4999999999999999,0.4999999999999999,5,5,10,0.16819012861706711,0.8318098713829329
16,100,50,9,9,16,0.9,0.9,0.4999999999999999,0.4999999999999999,9,9,10,0.16825306128430956,0.8317469387156904
16,100,50,9,9,16,0.7,0.7,0.7,0.7,5,5,10,0.16997861922347324,0.8300213807765268
16,50,100,9,9,16,0.7,0.7,0.7,0.7,7,7,10,0.17001247370444963,0.8299875262955504
48,100,50,9,9,16,0.9,0.9,0.4999999999999999,0.4999999999999999,3,3,10,0.17044063160031017,0.8295593683996898
16,100,50,9,9,16,0.9,0.9,0.4999999999999999,0.4999999999999999,7,7,10,0.1708443291349484,0.8291556708650516
48,100,50,9,9,16,0.7,0.7,0.7,0.7,7,7,10,0.17093676646083136,0.8290632335391687
48,100,50,9,9,16,0.7,0.7,0.7,0.7,5,5,10,0.17150786696835058,0.8284921330316495
16,100,50,9,9,16,0.9,0.9,0.4999999999999999,0.4999999999999999,3,3,10,0.1724271313979318,0.8275728686020682
48,50,100,9,9,16,0.5,0.5,0.8999999999999999,0.8999999999999999,7,7,10,0.17264363238884683,0.8273563676111532
16,100,50,9,9,16,0.9,0.9,0.4999999999999999,0.4999999999999999,1,1,10,0.17369598470187975,0.8263040152981203
80,100,50,9,9,16,0.7,0.7,0.7,0.7,7,7,10,0.17370108924859073,0.8262989107514093
16,50,100,9,9,16,0.9,0.9,0.4999999999999999,0.4999999999999999,7,7,10,0.17387212276149608,0.8261278772385039
48,100,50,9,9,16,0.9,0.9,0.4999999999999999,0.4999999999999999,7,7,10,0.1740364020293567,0.8259635979706433
16,50,100,9,9,16,0.9,0.9,0.4999999999999999,0.4999999999999999,1,1,10,0.17411624393262712,0.8258837560673729
48,50,100,9,9,16,0.7,0.7,0.7,0.7,1,1,10,0.17430280484754318,0.8256971951524568
48,50,100,9,9,16,0.7,0.7,0.7,0.7,7,7,10,0.17479076185998574,0.8252092381400142
48,50,100,9,9,16,0.9,0.9,0.4999999999999999,0.4999999999999999,5,5,10,0.17483833972034465,0.8251616602796553
80,50,100,9,9,16,0.9,0.9,0.4999999999999999,0.4999999999999999,3,3,10,0.17503854630172827,0.8249614536982717
48,50,100,9,9,16,0.7,0.7,0.7,0.7,3,3,10,0.1750735763405592,0.8249264236594408
16,50,100,9,9,16,0.9,0.9,0.4999999999999999,0.4999999999999999,9,9,10,0.17515813130738986,0.8248418686926101
48,50,100,9,9,16,0.9,0.9,0.4999999999999999,0.4999999999999999,3,3,10,0.17528561910458867,0.8247143808954114
16,50,100,9,9,16,0.7,0.7,0.7,0.7,5,5,10,0.17529323893739251,0.8247067610626075
48,50,100,9,9,16,0.7,0.7,0.7,0.7,9,9,10,0.17539009746636733,0.8246099025336326
48,100,50,9,9,16,0.9,0.9,0.4999999999999999,0.4999999999999999,1,1,10,0.17547327757481618,0.8245267224251838
48,50,100,9,9,16,0.9,0.9,0.4999999999999999,0.4999999999999999,7,7,10,0.1759925614058171,0.8240074385941829
48,100,50,9,9,16,0.7,0.7,0.7,0.7,3,3,10,0.17638433656095265,0.8236156634390474
