n_estimators_random,penalty_逻辑回归,max_features_random,max_samples_random,min_samples_leaf_random,max_depth_random,min_samples_split_random,C_逻辑回归,degree,mse,r2,mse_y,auc_t
100,l1,0.5,0.5,5,5,48,1,10,0.13144123,0.86855877,1.061356764,0.513925627
100,l2,0.5,0.5,5,5,48,0.1,10,0.131445153,0.868554847,1.061356764,0.50672502
100,l1,0.5,0.5,7,7,80,1,10,0.131829753,0.868170247,1.05896733,0.513925627
100,l2,0.5,0.5,5,5,48,1,10,0.131910213,0.868089787,1.061356764,0.506313556
100,l1,0.5,0.5,7,7,80,10,10,0.131986293,0.868013707,1.05896733,0.507590696
100,l2,0.5,0.5,7,7,80,1,10,0.132072523,0.867927477,1.05896733,0.506313556
100,l1,0.5,0.5,5,5,48,10,10,0.132265728,0.867734272,1.061356764,0.507590696
100,l2,0.5,0.5,5,5,48,10,10,0.132359305,0.867640695,1.061356764,0.506254776
100,l2,0.5,0.5,7,7,80,0.1,10,0.132478932,0.867521068,1.05896733,0.50672502
100,l2,0.5,0.5,7,7,80,10,10,0.132660928,0.867339072,1.05896733,0.506254776
100,l1,0.7,0.7,5,5,48,1,10,0.133622641,0.866377359,1.060330108,0.513925627
100,l1,0.7,0.7,7,7,80,1,10,0.133717069,0.866282931,1.059968054,0.513925627
100,l1,0.7,0.7,7,7,80,10,10,0.133952471,0.866047529,1.059968054,0.507590696
100,l2,0.7,0.7,7,7,80,1,10,0.13398372,0.86601628,1.059968054,0.506313556
100,l2,0.7,0.7,7,7,80,10,10,0.133992781,0.866007219,1.059968054,0.506254776
100,l2,0.7,0.7,5,5,48,0.1,10,0.134098765,0.865901235,1.060330108,0.50672502
100,l2,0.7,0.7,7,7,80,0.1,10,0.134194903,0.865805097,1.059968054,0.50672502
100,l2,0.9,0.9,5,5,48,0.1,10,0.134273229,0.865726771,1.059888743,0.50672502
100,l1,0.7,0.7,5,5,48,10,10,0.134584116,0.865415884,1.060330108,0.507590696
100,l2,0.7,0.7,5,5,48,1,10,0.134585,0.865415,1.060330108,0.506313556
100,l2,0.7,0.7,5,5,48,10,10,0.134641459,0.865358541,1.060330108,0.506254776
100,l1,0.9,0.9,5,5,48,1,10,0.134763037,0.865236963,1.059888743,0.513925627
100,l2,0.9,0.9,5,5,48,1,10,0.134910996,0.865089004,1.059888743,0.506313556
100,l1,0.9,0.9,5,5,48,10,10,0.135192337,0.864807663,1.059888743,0.507590696
100,l2,0.9,0.9,5,5,48,10,10,0.135302314,0.864697686,1.059888743,0.506254776
100,l1,0.9,0.9,7,7,80,1,10,0.135808511,0.864191489,1.059756559,0.513925627
100,l2,0.9,0.9,7,7,80,0.1,10,0.135826775,0.864173225,1.059756559,0.50672502
50,l1,0.9,0.9,5,5,48,1,10,0.135905226,0.864094774,1.060040947,0.513925627
50,l2,0.9,0.9,5,5,48,1,10,0.136102764,0.863897236,1.060040947,0.506313556
100,l2,0.9,0.9,7,7,80,10,10,0.136125448,0.863874552,1.059756559,0.506254776
50,l1,0.9,0.9,5,5,48,10,10,0.136195354,0.863804646,1.060040947,0.507590696
50,l2,0.7,0.7,7,7,80,0.1,10,0.136231084,0.863768916,1.060119571,0.50672502
50,l2,0.9,0.9,5,5,48,10,10,0.136275544,0.863724456,1.060040947,0.506254776
50,l2,0.9,0.9,5,5,48,0.1,10,0.13633672,0.86366328,1.060040947,0.50672502
50,l1,0.5,0.5,7,7,80,1,10,0.136421808,0.863578192,1.058931592,0.513925627
100,l2,0.9,0.9,7,7,80,1,10,0.136468897,0.863531103,1.059756559,0.506313556
100,l1,0.7,0.7,9,9,112,1,10,0.136545637,0.863454363,1.059963252,0.513925627
100,l1,0.9,0.9,7,7,80,10,10,0.136701877,0.863298123,1.059756559,0.507590696
50,l2,0.5,0.5,7,7,80,1,10,0.136940526,0.863059474,1.058931592,0.506313556
50,l1,0.5,0.5,7,7,80,10,10,0.136942709,0.863057291,1.058931592,0.507590696
50,l1,0.7,0.7,7,7,80,1,10,0.137026455,0.862973545,1.060119571,0.513925627
50,l2,0.5,0.5,7,7,80,10,10,0.137030716,0.862969284,1.058931592,0.506254776
100,l1,0.7,0.7,9,9,112,10,10,0.1370519,0.8629481,1.059963252,0.507590696
50,l2,0.7,0.7,7,7,80,1,10,0.137085791,0.862914209,1.060119571,0.506313556
100,l2,0.7,0.7,9,9,112,1,10,0.137092543,0.862907457,1.059963252,0.506313556
100,l2,0.7,0.7,9,9,112,10,10,0.137095585,0.862904415,1.059963252,0.506254776
50,l2,0.5,0.5,7,7,80,0.1,10,0.137284809,0.862715191,1.058931592,0.50672502
50,l1,0.7,0.7,7,7,80,10,10,0.137384682,0.862615318,1.060119571,0.507590696
50,l2,0.7,0.7,7,7,80,10,10,0.137470733,0.862529267,1.060119571,0.506254776
50,l1,0.9,0.9,7,7,80,1,10,0.137831212,0.862168788,1.061791357,0.513925627
50,l1,0.5,0.5,5,5,48,1,10,0.138278691,0.861721309,1.060880798,0.513925627
