min_child_samples_LGBC,num_leaves_LGBC,reg_lambda_LGBC,learning_rate_LGBR,num_iterations_LGBR,num_leaves_LGBR,min_child_samples_LGBR,reg_lambda_LGBR,subsample_LGBR,colsample_bytree_LGBR,subsample_LGBC,colsample_bytree_LGBC,max_bin_LGBR,max_bin_LGBC,max_depth_LGBR,max_depth_LGBC,reg_alpha_LGBR,reg_alpha_LGBC,learning_rate_LGBC,num_iterations_LGBC,degree,mse,r2,mse_y,auc_t
16,16,1.5625,0.1,200,64,64,10,0.9,0.9,0.5,0.5,112,112,7,7,1,1,0.1,100,10,0.090720705,0.909279295,1.099442772,0.512800782
16,16,1.5625,0.1,200,64,64,10,0.9,0.9,0.5,0.5,112,112,7,7,1,1,0.05,200,10,0.092927083,0.907072917,1.099442772,0.504550142
16,16,1.5625,0.1,200,64,64,10,0.5,0.5,0.9,0.9,112,112,7,7,0.01,0.01,0.05,200,10,0.09383777,0.90616223,1.093274962,0.516859306
16,16,1.5625,0.2,100,64,64,10,0.5,0.5,0.9,0.9,144,144,9,9,0.1,0.1,0.1,100,10,0.094132449,0.905867551,1.097957153,0.508902569
32,32,2.1875,0.1,200,64,64,10,0.9,0.9,0.5,0.5,112,112,7,7,1,1,0.05,200,10,0.094309226,0.905690774,1.099442772,0.5180269
16,16,1.5625,0.2,100,64,64,10,0.5,0.5,0.9,0.9,144,144,9,9,0.1,0.1,0.05,200,10,0.094627691,0.905372309,1.097957153,0.50838156
16,16,1.5625,0.1,200,64,64,10,0.9,0.9,0.5,0.5,80,80,5,5,1,1,0.05,200,10,0.095243543,0.904756457,1.087874335,0.516573419
16,16,1.5625,0.1,200,64,64,10,0.5,0.5,0.9,0.9,112,112,7,7,1,1,0.1,100,10,0.095711836,0.904288164,1.093137365,0.527605444
16,16,1.5625,0.2,100,64,64,10,0.9,0.9,0.5,0.5,80,80,5,5,0.1,0.1,0.1,100,10,0.095761064,0.904238936,1.091598478,0.514834052
16,16,1.5625,0.2,100,96,96,15,0.5,0.5,0.9,0.9,112,112,7,7,0.01,0.01,0.05,200,10,0.095867113,0.904132887,1.085043527,0.516859306
16,16,1.5625,0.1,200,64,64,10,0.5,0.5,0.9,0.9,80,80,5,5,1,1,0.1,100,10,0.09693095,0.90306905,1.084440625,0.515817289
32,32,2.1875,0.2,100,32,32,5,0.7,0.7,0.7,0.7,48,48,3,3,1,1,0.05,200,10,0.097490308,0.902509692,1.079347784,0.520244527
48,48,2.8125,0.2,100,32,32,5,0.7,0.7,0.7,0.7,48,48,3,3,1,1,0.05,200,10,0.097824958,0.902175042,1.079347784,0.517051679
16,16,1.5625,0.1,200,64,64,10,0.5,0.5,0.9,0.9,80,80,5,5,1,1,0.05,200,10,0.098140079,0.901859921,1.084440625,0.511162945
16,16,1.5625,0.2,100,64,64,10,0.7,0.7,0.7,0.7,144,144,9,9,0.1,0.1,0.05,200,10,0.098143663,0.901856337,1.105063606,0.509599919
16,16,1.5625,0.1,200,64,64,10,0.5,0.5,0.9,0.9,80,80,5,5,0.1,0.1,0.1,100,10,0.09835903,0.90164097,1.087036003,0.500021375
16,16,1.5625,0.1,200,64,64,10,0.7,0.7,0.7,0.7,112,112,7,7,0.1,0.1,0.05,200,10,0.098605291,0.901394709,1.092447106,0.520639959
16,16,1.5625,0.2,100,64,64,10,0.5,0.5,0.9,0.9,112,112,7,7,0.01,0.01,0.05,200,10,0.099153258,0.900846742,1.096824365,0.516859306
32,32,2.1875,0.1,200,64,64,10,0.5,0.5,0.9,0.9,80,80,5,5,0.1,0.1,0.1,100,10,0.09922127,0.90077873,1.087036003,0.52633632
32,32,2.1875,0.1,200,64,64,10,0.9,0.9,0.5,0.5,112,112,7,7,1,1,0.1,100,10,0.099622824,0.900377176,1.099442772,0.506297525
16,16,1.5625,0.2,100,32,32,5,0.7,0.7,0.7,0.7,48,48,3,3,1,1,0.05,200,10,0.099649797,0.900350203,1.079347784,0.520706755
32,32,2.1875,0.1,200,64,64,10,0.9,0.9,0.5,0.5,80,80,5,5,1,1,0.05,200,10,0.099682925,0.900317075,1.087874335,0.507339543
48,48,2.8125,0.1,200,64,64,10,0.9,0.9,0.5,0.5,112,112,7,7,1,1,0.1,100,10,0.099736373,0.900263627,1.099442772,0.50222297
16,16,1.5625,0.1,200,64,64,10,0.5,0.5,0.9,0.9,80,80,5,5,0.1,0.1,0.05,200,10,0.099885093,0.900114907,1.087036003,0.493333761
