max_depth_XGB,reg_lambda_XGB,num_iterations_LGB,n_estimators_XGB,learning_rate_LGB,learning_rate_XGB,num_leaves_LGB,min_child_samples_LGB,reg_lambda_LGB,subsample_LGB,colsample_bytree_LGB,subsample_XGB,colsample_bytree_XGB,min_child_weight_XGB,max_bin_LGB,max_depth_LGB,reg_alpha_LGB,reg_alpha_XGB,degree,mse,r2
9,9,200,200,0.1,0.1,32,32,5,0.9,0.9,0.5,0.5,80,144,11,1,1,10,0.093789824,0.906210176
9,9,200,200,0.1,0.1,64,64,10,0.9,0.9,0.5,0.5,64,112,9,1,1,10,0.093844367,0.906155633
9,9,200,200,0.1,0.1,96,96,15,0.9,0.9,0.5,0.5,80,144,11,0.1,0.1,10,0.097894553,0.902105447
5,5,200,200,0.1,0.1,64,64,10,0.9,0.9,0.5,0.5,64,112,9,1,1,10,0.098132942,0.901867058
7,7,200,200,0.1,0.1,64,64,10,0.9,0.9,0.5,0.5,64,112,9,1,1,10,0.098259615,0.901740385
7,7,100,100,0.2,0.2,32,32,5,0.9,0.9,0.5,0.5,64,112,9,0.1,0.1,10,0.098492381,0.901507619
9,9,200,200,0.1,0.1,64,64,10,0.9,0.9,0.5,0.5,80,144,11,1,1,10,0.098721065,0.901278935
7,7,100,100,0.2,0.2,64,64,10,0.9,0.9,0.5,0.5,64,112,9,0.1,0.1,10,0.099193017,0.900806983
7,7,200,200,0.1,0.1,32,32,5,0.9,0.9,0.5,0.5,80,144,11,1,1,10,0.100110958,0.899889042
9,9,200,200,0.1,0.1,64,64,10,0.9,0.9,0.5,0.5,80,144,11,0.1,0.1,10,0.100701036,0.899298964
9,9,100,100,0.2,0.2,96,96,15,0.9,0.9,0.5,0.5,80,144,11,1,1,10,0.101204058,0.898795942
9,9,100,100,0.2,0.2,96,96,15,0.9,0.9,0.5,0.5,64,112,9,1,1,10,0.101416069,0.898583931
9,9,200,200,0.1,0.1,96,96,15,0.9,0.9,0.5,0.5,80,144,11,0.01,0.01,10,0.101900261,0.898099739
5,5,200,200,0.1,0.1,32,32,5,0.9,0.9,0.5,0.5,80,144,11,1,1,10,0.10229289,0.89770711
7,7,200,200,0.1,0.1,32,32,5,0.9,0.9,0.5,0.5,64,112,9,0.1,0.1,10,0.102736365,0.897263635
9,9,200,200,0.1,0.1,96,96,15,0.9,0.9,0.5,0.5,80,144,11,1,1,10,0.102930088,0.897069912
9,9,200,200,0.1,0.1,64,64,10,0.9,0.9,0.5,0.5,80,144,11,0.01,0.01,10,0.102940708,0.897059292
5,5,100,100,0.2,0.2,96,96,15,0.9,0.9,0.5,0.5,64,112,9,1,1,10,0.102995364,0.897004636
7,7,200,200,0.1,0.1,96,96,15,0.9,0.9,0.5,0.5,80,144,11,0.1,0.1,10,0.103364177,0.896635823
5,5,100,100,0.2,0.2,96,96,15,0.9,0.9,0.5,0.5,80,144,11,1,1,10,0.103543405,0.896456595
9,9,200,200,0.1,0.1,96,96,15,0.9,0.9,0.5,0.5,64,112,9,1,1,10,0.103547497,0.896452503
7,7,100,100,0.2,0.2,96,96,15,0.9,0.9,0.5,0.5,64,112,9,1,1,10,0.103618423,0.896381577
9,9,200,200,0.1,0.1,32,32,5,0.9,0.9,0.5,0.5,64,112,9,1,1,10,0.10369382,0.89630618
9,9,200,200,0.1,0.1,96,96,15,0.9,0.9,0.5,0.5,64,112,9,0.01,0.01,10,0.103871248,0.896128752
7,7,200,200,0.1,0.1,96,96,15,0.9,0.9,0.5,0.5,64,112,9,0.1,0.1,10,0.104032235,0.895967765
5,5,200,200,0.1,0.1,64,64,10,0.9,0.9,0.5,0.5,80,144,11,0.1,0.1,10,0.104132264,0.895867736
5,5,200,200,0.1,0.1,96,96,15,0.9,0.9,0.5,0.5,80,144,11,0.1,0.1,10,0.104155903,0.895844097
7,7,100,100,0.2,0.2,96,96,15,0.9,0.9,0.5,0.5,80,144,11,1,1,10,0.10426866,0.89573134
9,9,200,200,0.1,0.1,32,32,5,0.7,0.7,0.7,0.7,80,144,11,1,1,10,0.104400748,0.895599252
7,7,200,200,0.1,0.1,64,64,10,0.5,0.5,0.9,0.9,48,80,7,1,1,10,0.104516316,0.895483684
9,9,200,200,0.1,0.1,96,96,15,0.9,0.9,0.5,0.5,64,112,9,0.1,0.1,10,0.104535256,0.895464744
9,9,200,200,0.1,0.1,32,32,5,0.9,0.9,0.5,0.5,64,112,9,0.1,0.1,10,0.104638553,0.895361447
7,7,200,200,0.1,0.1,64,64,10,0.9,0.9,0.5,0.5,80,144,11,1,1,10,0.104681662,0.895318338
9,9,100,100,0.2,0.2,96,96,15,0.9,0.9,0.5,0.5,80,144,11,0.1,0.1,10,0.104870735,0.895129265
7,7,200,200,0.1,0.1,32,32,5,0.9,0.9,0.5,0.5,64,112,9,0.01,0.01,10,0.10509277,0.89490723
7,7,200,200,0.1,0.1,64,64,10,0.9,0.9,0.5,0.5,48,80,7,1,1,10,0.105257732,0.894742268
7,7,200,200,0.1,0.1,96,96,15,0.9,0.9,0.5,0.5,64,112,9,0.01,0.01,10,0.105613559,0.894386441
7,7,200,200,0.1,0.1,96,96,15,0.9,0.9,0.5,0.5,64,112,9,1,1,10,0.105752976,0.894247024
