max_depth_LGB,n_estimators_random,learning_rate_LGB,num_iterations_LGB,min_samples_split_random,num_leaves_LGB,min_child_samples_LGB,reg_lambda_LGB,subsample_LGB,colsample_bytree_LGB,max_features_random,max_samples_random,max_depth_random,max_bin_LGB,min_samples_leaf_random,reg_alpha,degree,mse,r2,mse_y,auc_t
9,100,0.1,200,32,64,64,10,0.9,0.9,0.5,0.5,7,112,7,1,10,0.074751916,0.925248084,1.109461001,0.519809017
7,100,0.1,200,32,64,64,10,0.9,0.9,0.5,0.5,7,112,7,1,10,0.075494004,0.924505996,1.099442772,0.519809017
5,50,0.2,100,48,96,96,15,0.9,0.9,0.5,0.5,7,112,7,1,10,0.077634416,0.922365584,1.080485336,0.505683002
7,100,0.1,200,32,64,64,10,0.5,0.5,0.9,0.9,7,112,7,1,10,0.077899057,0.922100943,1.093137365,0.511456847
7,100,0.1,200,32,64,64,10,0.7,0.7,0.7,0.7,7,112,7,0.1,10,0.079503107,0.920496893,1.092447106,0.512514896
5,100,0.1,200,32,64,64,10,0.9,0.9,0.5,0.5,7,112,7,0.01,10,0.080222279,0.919777721,1.089990056,0.519809017
9,50,0.2,100,48,96,96,15,0.7,0.7,0.7,0.7,9,144,9,0.1,10,0.080256334,0.919743666,1.091376827,0.508573932
9,100,0.1,200,32,64,64,10,0.9,0.9,0.5,0.5,5,80,5,0.01,10,0.080795924,0.919204076,1.117328892,0.511852279
5,50,0.2,100,32,64,64,10,0.7,0.7,0.7,0.7,9,144,9,1,10,0.081279494,0.918720506,1.086930473,0.508573932
9,50,0.2,100,32,64,64,10,0.9,0.9,0.5,0.5,5,80,5,1,10,0.08177201,0.91822799,1.110218095,0.508531183
7,100,0.1,200,32,64,64,10,0.9,0.9,0.5,0.5,7,112,7,0.01,10,0.082067855,0.917932145,1.100907461,0.519809017
9,100,0.1,200,32,64,64,10,0.5,0.5,0.9,0.9,5,80,5,1,10,0.08224539,0.91775461,1.103014778,0.519370835
5,50,0.2,100,32,64,64,10,0.5,0.5,0.9,0.9,9,144,9,0.1,10,0.082410003,0.917589997,1.0800404,0.517361612
7,100,0.1,200,32,64,64,10,0.7,0.7,0.7,0.7,9,144,9,0.01,10,0.082522369,0.917477631,1.100089467,0.515590183
7,100,0.1,200,48,96,96,15,0.7,0.7,0.7,0.7,9,144,9,0.01,10,0.082579703,0.917420297,1.082009237,0.515590183
9,100,0.1,200,48,96,96,15,0.7,0.7,0.7,0.7,9,144,9,1,10,0.08265028,0.91734972,1.086361271,0.515590183
9,100,0.1,200,48,96,96,15,0.7,0.7,0.7,0.7,9,144,9,0.01,10,0.082767504,0.917232496,1.087214256,0.515590183
7,50,0.2,100,32,64,64,10,0.7,0.7,0.7,0.7,9,144,9,1,10,0.082882532,0.917117468,1.094207091,0.508573932
7,100,0.1,200,32,64,64,10,0.5,0.5,0.9,0.9,5,80,5,1,10,0.08290801,0.91709199,1.093805249,0.519370835
9,100,0.1,200,32,64,64,10,0.7,0.7,0.7,0.7,7,112,7,0.01,10,0.082926261,0.917073739,1.096489331,0.512514896
5,50,0.2,100,48,96,96,15,0.5,0.5,0.9,0.9,9,144,9,0.01,10,0.082977862,0.917022138,1.081547347,0.517361612
9,50,0.2,100,32,64,64,10,0.7,0.7,0.7,0.7,7,112,7,1,10,0.083132585,0.916867415,1.100294976,0.512237024
5,50,0.2,100,32,64,64,10,0.9,0.9,0.5,0.5,5,80,5,0.1,10,0.083140743,0.916859257,1.091598478,0.508531183
9,100,0.1,200,32,64,64,10,0.7,0.7,0.7,0.7,7,112,7,0.1,10,0.083148635,0.916851365,1.103137654,0.512514896
5,100,0.1,200,32,64,64,10,0.9,0.9,0.5,0.5,7,112,7,1,10,0.083160553,0.916839447,1.089055514,0.519809017
9,50,0.2,100,48,96,96,15,0.9,0.9,0.5,0.5,9,144,9,0.01,10,0.083237724,0.916762276,1.093189785,0.511109508
9,50,0.2,100,32,64,64,10,0.7,0.7,0.7,0.7,9,144,9,1,10,0.083307979,0.916692021,1.10826737,0.508573932
5,100,0.1,200,32,64,64,10,0.9,0.9,0.5,0.5,7,112,7,0.1,10,0.083377733,0.916622267,1.086001068,0.519809017
5,100,0.1,200,32,64,64,10,0.7,0.7,0.7,0.7,9,144,9,0.1,10,0.0834772,0.9165228,1.084274939,0.515590183
9,50,0.2,100,32,64,64,10,0.7,0.7,0.7,0.7,7,112,7,0.01,10,0.083643582,0.916356418,1.108330296,0.512237024
7,50,0.2,100,48,96,96,15,0.7,0.7,0.7,0.7,9,144,9,0.1,10,0.083703961,0.916296039,1.083439416,0.508573932
5,100,0.1,200,48,96,96,15,0.9,0.9,0.5,0.5,9,144,9,0.1,10,0.083799658,0.916200342,1.080515148,0.518833796
5,50,0.2,100,48,96,96,15,0.5,0.5,0.9,0.9,7,112,7,0.01,10,0.083815689,0.916184311,1.078084196,0.52767224
5,100,0.1,200,32,64,64,10,0.9,0.9,0.5,0.5,9,144,9,0.1,10,0.083894217,0.916105783,1.08935644,0.518833796
5,100,0.1,200,48,96,96,15,0.5,0.5,0.9,0.9,9,144,9,0.01,10,0.083898126,0.916101874,1.079634137,0.504910841
9,100,0.1,200,32,64,64,10,0.9,0.9,0.5,0.5,7,112,7,0.1,10,0.084007485,0.915992515,1.110810754,0.519809017
7,50,0.2,100,32,64,64,10,0.5,0.5,0.9,0.9,9,144,9,0.1,10,0.084107719,0.915892281,1.08946986,0.517361612
5,50,0.2,100,16,32,32,5,0.5,0.5,0.9,0.9,9,144,9,1,10,0.084158033,0.915841967,1.096831022,0.517361612
9,100,0.1,200,32,64,64,10,0.7,0.7,0.7,0.7,7,112,7,1,10,0.084180742,0.915819258,1.099287392,0.512514896
9,100,0.1,200,48,96,96,15,0.5,0.5,0.9,0.9,7,112,7,1,10,0.08420478,0.91579522,1.080923447,0.511456847
5,100,0.1,200,32,64,64,10,0.5,0.5,0.9,0.9,5,80,5,1,10,0.084242292,0.915757708,1.084440625,0.519370835
5,100,0.1,200,48,96,96,15,0.5,0.5,0.9,0.9,9,144,9,0.1,10,0.084320255,0.915679745,1.076451125,0.504910841
7,100,0.1,200,32,64,64,10,0.9,0.9,0.5,0.5,7,112,7,0.1,10,0.08434375,0.91565625,1.105487546,0.519809017
