max_depth_LGB,min_child_samples_LGB,num_leaves_LGB,num_iterations_LGB,learning_rate_LGB,penalty_逻辑回归,subsample_LGB,colsample_bytree_LGB,reg_lambda_LGB,max_bin_LGB,reg_alpha_LGB,C_逻辑回归,degree,mse,r2,mse_y,auc_t
9,64,64,100,0.2,l1,0.7,0.7,1,16,0.1,1,10,0.088084,0.911916,1.095515216,0.513925627
9,64,64,100,0.2,l2,0.7,0.7,1,16,0.1,1,10,0.088824407,0.911175593,1.095515216,0.506313556
9,64,64,200,0.1,l1,0.7,0.7,1,16,0.01,0.1,10,0.08900514,0.91099486,1.089773346,0.5
9,64,64,100,0.2,l1,0.7,0.7,7,112,0.01,0.1,10,0.08994451,0.91005549,1.076689436,0.5
9,64,64,200,0.1,l2,0.7,0.7,1,16,0.01,0.1,10,0.090109694,0.909890306,1.089773346,0.50672502
9,64,64,100,0.2,l2,0.7,0.7,7,112,0.01,0.1,10,0.091977259,0.908022741,1.076689436,0.50672502
9,64,64,100,0.2,l1,0.5,0.5,3,48,0.01,0.1,10,0.09257402,0.90742598,1.104444293,0.5
9,64,64,200,0.1,l1,0.7,0.7,1,16,0.1,1,10,0.094859761,0.905140239,1.094398358,0.513925627
9,64,64,100,0.2,l2,0.5,0.5,3,48,0.01,0.1,10,0.094925609,0.905074391,1.104444293,0.50672502
9,64,64,100,0.2,l1,0.5,0.5,3,48,1,10,10,0.095542382,0.904457618,1.102390181,0.507590696
9,64,64,100,0.2,l2,0.5,0.5,3,48,1,10,10,0.095621946,0.904378054,1.102390181,0.506254776
9,64,64,200,0.1,l2,0.7,0.7,1,16,0.1,1,10,0.09571998,0.90428002,1.094398358,0.506313556
7,32,32,100,0.2,l1,0.5,0.5,3,48,0.01,0.1,10,0.096239159,0.903760841,1.089047773,0.5
7,32,32,100,0.2,l1,0.9,0.9,1,16,0.01,0.1,10,0.0965203,0.9034797,1.09127365,0.5
9,64,64,200,0.1,l1,0.9,0.9,7,112,0.1,1,10,0.096593719,0.903406281,1.090448181,0.513925627
9,64,64,200,0.1,l1,0.9,0.9,1,16,1,10,10,0.097075439,0.902924561,1.095444492,0.507590696
9,64,64,200,0.1,l2,0.9,0.9,1,16,1,10,10,0.097151526,0.902848474,1.095444492,0.506254776
7,32,32,100,0.2,l1,0.5,0.5,9,144,0.01,0.1,10,0.097625063,0.902374937,1.080101081,0.5
9,64,64,200,0.1,l2,0.9,0.9,7,112,0.1,1,10,0.097856923,0.902143077,1.090448181,0.506313556
7,32,32,100,0.2,l1,0.9,0.9,7,112,0.01,0.1,10,0.097920717,0.902079283,1.073570785,0.5
7,32,32,200,0.1,l1,0.9,0.9,7,112,0.01,0.1,10,0.097921925,0.902078075,1.069588204,0.5
7,32,32,100,0.2,l1,0.5,0.5,7,112,1,10,10,0.098219733,0.901780267,1.073930741,0.507590696
9,64,64,100,0.2,l1,0.5,0.5,5,80,0.01,0.1,10,0.098231452,0.901768548,1.094406926,0.5
9,64,64,200,0.1,l1,0.9,0.9,7,112,0.01,0.1,10,0.098286878,0.901713122,1.091435272,0.5
7,32,32,200,0.1,l1,0.5,0.5,1,16,0.01,0.1,10,0.098290137,0.901709863,1.072543297,0.5
7,32,32,100,0.2,l1,0.7,0.7,1,16,0.01,0.1,10,0.098319453,0.901680547,1.083277596,0.5
7,32,32,100,0.2,l2,0.5,0.5,7,112,1,10,10,0.098330222,0.901669778,1.073930741,0.506254776
9,64,64,100,0.2,l1,0.5,0.5,3,48,0.1,1,10,0.098528969,0.901471031,1.101631995,0.513925627
