max_depth_XGBR,reg_lambda_XGBR,n_estimators_XGBR,learning_rate_XGBR,max_depth_XGBC,reg_lambda_XGBC,subsample_XGBR,colsample_bytree_XGBR,subsample_XGBC,colsample_bytree_XGBC,min_child_weight_XGBR,min_child_weight_XGBC,reg_alpha_XGBR,reg_alpha_XGBC,n_estimators_XGBC,learning_rate_XGBR,degree,mse,r2
7,7,100,0.1,16,16,0.5,0.5,0.9,0.9,80,80,0.1,0.1,200,0.05,10,0.190468012,0.809531988
9,9,100,0.1,16,16,0.5,0.5,0.9,0.9,80,80,0.1,0.1,200,0.05,10,0.190705633,0.809294367
5,5,100,0.1,16,16,0.5,0.5,0.9,0.9,80,80,0.1,0.1,200,0.05,10,0.191583371,0.808416629
5,5,100,0.1,16,16,0.5,0.5,0.9,0.9,80,80,0.01,0.01,100,0.1,10,0.191818267,0.808181733
7,7,100,0.1,16,16,0.5,0.5,0.9,0.9,80,80,0.01,0.01,100,0.1,10,0.191987425,0.808012575
9,9,100,0.1,16,16,0.5,0.5,0.9,0.9,80,80,0.01,0.01,100,0.1,10,0.192284028,0.807715972
5,5,100,0.1,16,16,0.7,0.7,0.7,0.7,64,64,0.01,0.01,100,0.1,10,0.193694953,0.806305047
5,5,200,0.05,16,16,0.5,0.5,0.9,0.9,80,80,0.1,0.1,200,0.05,10,0.194175238,0.805824762
5,5,200,0.05,16,16,0.5,0.5,0.9,0.9,80,80,0.01,0.01,100,0.1,10,0.194293363,0.805706637
7,7,100,0.1,16,16,0.7,0.7,0.7,0.7,64,64,0.01,0.01,100,0.1,10,0.194293578,0.805706422
7,7,200,0.05,16,16,0.5,0.5,0.9,0.9,80,80,0.1,0.1,200,0.05,10,0.194346806,0.805653194
7,7,200,0.05,16,16,0.5,0.5,0.9,0.9,80,80,0.01,0.01,100,0.1,10,0.194431915,0.805568085
9,9,200,0.05,16,16,0.5,0.5,0.9,0.9,80,80,0.1,0.1,200,0.05,10,0.194450962,0.805549038
9,9,200,0.05,16,16,0.5,0.5,0.9,0.9,80,80,0.01,0.01,100,0.1,10,0.194580292,0.805419708
9,9,100,0.1,16,16,0.7,0.7,0.7,0.7,64,64,0.01,0.01,100,0.1,10,0.194883995,0.805116005
5,5,100,0.1,16,16,0.5,0.5,0.9,0.9,80,80,0.01,0.01,200,0.05,10,0.195317335,0.804682665
7,7,100,0.1,16,16,0.5,0.5,0.9,0.9,80,80,0.01,0.01,200,0.05,10,0.195530527,0.804469473
9,9,100,0.1,16,16,0.5,0.5,0.9,0.9,80,80,0.01,0.01,200,0.05,10,0.195843555,0.804156445
5,5,100,0.1,16,16,0.7,0.7,0.7,0.7,16,16,0.01,0.01,100,0.1,10,0.196605344,0.803394656
5,5,100,0.1,16,16,0.5,0.5,0.9,0.9,80,80,0.1,0.1,100,0.1,10,0.196773781,0.803226219
7,7,100,0.1,16,16,0.5,0.5,0.9,0.9,80,80,0.1,0.1,100,0.1,10,0.196896623,0.803103377
9,9,100,0.1,16,16,0.5,0.5,0.9,0.9,80,80,0.1,0.1,100,0.1,10,0.197144204,0.802855796
7,7,100,0.1,16,16,0.7,0.7,0.7,0.7,16,16,0.01,0.01,100,0.1,10,0.197424598,0.802575402
9,9,100,0.1,16,16,0.7,0.7,0.7,0.7,16,16,0.01,0.01,100,0.1,10,0.197773361,0.802226639
5,5,100,0.1,16,16,0.7,0.7,0.7,0.7,80,80,0.1,0.1,200,0.05,10,0.197986249,0.802013751
5,5,200,0.05,16,16,0.5,0.5,0.9,0.9,80,80,0.01,0.01,200,0.05,10,0.197994484,0.802005516
7,7,200,0.05,16,16,0.5,0.5,0.9,0.9,80,80,0.01,0.01,200,0.05,10,0.198067083,0.801932917
9,9,200,0.05,16,16,0.5,0.5,0.9,0.9,80,80,0.01,0.01,200,0.05,10,0.198240057,0.801759943
5,5,200,0.05,16,16,0.7,0.7,0.7,0.7,64,64,0.01,0.01,100,0.1,10,0.198323429,0.801676571
7,7,200,0.05,16,16,0.7,0.7,0.7,0.7,64,64,0.01,0.01,100,0.1,10,0.198561196,0.801438804
7,7,100,0.1,16,16,0.7,0.7,0.7,0.7,80,80,0.1,0.1,200,0.05,10,0.198639931,0.801360069
5,5,100,0.1,16,16,0.5,0.5,0.9,0.9,32,32,0.01,0.01,200,0.05,10,0.198724319,0.801275681
9,9,100,0.1,16,16,0.7,0.7,0.7,0.7,80,80,0.1,0.1,200,0.05,10,0.19875881,0.80124119
9,9,200,0.05,16,16,0.7,0.7,0.7,0.7,64,64,0.01,0.01,100,0.1,10,0.198779022,0.801220978
9,9,100,0.1,16,16,0.5,0.5,0.9,0.9,32,32,0.01,0.01,200,0.05,10,0.19890889,0.80109111
7,7,100,0.1,16,16,0.5,0.5,0.9,0.9,32,32,0.01,0.01,200,0.05,10,0.198961318,0.801038682
5,5,100,0.1,16,16,0.5,0.5,0.9,0.9,32,32,1,1,200,0.05,10,0.199238942,0.800761058
5,5,200,0.05,16,16,0.5,0.5,0.9,0.9,80,80,0.1,0.1,100,0.1,10,0.199312399,0.800687601
7,7,100,0.1,16,16,0.5,0.5,0.9,0.9,32,32,1,1,200,0.05,10,0.199355229,0.800644771
7,7,200,0.05,16,16,0.5,0.5,0.9,0.9,80,80,0.1,0.1,100,0.1,10,0.199479363,0.800520637
5,5,100,0.1,16,16,0.7,0.7,0.7,0.7,64,64,0.01,0.01,200,0.05,10,0.199485493,0.800514507
9,9,100,0.1,16,16,0.5,0.5,0.9,0.9,32,32,1,1,200,0.05,10,0.199488643,0.800511357
9,9,200,0.05,16,16,0.5,0.5,0.9,0.9,80,80,0.1,0.1,100,0.1,10,0.19958151,0.80041849
5,5,100,0.1,16,16,0.5,0.5,0.9,0.9,64,64,0.01,0.01,100,0.1,10,0.199632414,0.800367586
7,7,100,0.1,16,16,0.5,0.5,0.9,0.9,64,64,0.01,0.01,100,0.1,10,0.199968068,0.800031932
9,9,100,0.1,16,16,0.5,0.5,0.9,0.9,64,64,0.01,0.01,100,0.1,10,0.200058716,0.799941284
7,7,100,0.1,16,16,0.7,0.7,0.7,0.7,64,64,0.01,0.01,200,0.05,10,0.200125719,0.799874281
5,5,100,0.1,16,16,0.5,0.5,0.9,0.9,32,32,0.1,0.1,200,0.05,10,0.20015993,0.79984007
9,9,100,0.1,16,16,0.5,0.5,0.9,0.9,32,32,0.1,0.1,200,0.05,10,0.200367489,0.799632511
7,7,100,0.1,16,16,0.5,0.5,0.9,0.9,32,32,0.1,0.1,200,0.05,10,0.200372132,0.799627868
9,9,100,0.1,16,16,0.7,0.7,0.7,0.7,64,64,0.01,0.01,200,0.05,10,0.200688998,0.799311002
5,5,100,0.1,16,16,0.5,0.5,0.9,0.9,64,64,1,1,100,0.1,10,0.200811746,0.799188254
5,5,200,0.05,16,16,0.7,0.7,0.7,0.7,16,16,0.01,0.01,100,0.1,10,0.200914799,0.799085201
7,7,200,0.05,16,16,0.7,0.7,0.7,0.7,16,16,0.01,0.01,100,0.1,10,0.201110106,0.798889894
7,7,100,0.1,16,16,0.5,0.5,0.9,0.9,64,64,1,1,100,0.1,10,0.201162488,0.798837512
9,9,100,0.1,16,16,0.5,0.5,0.9,0.9,64,64,1,1,100,0.1,10,0.201256018,0.798743982
9,9,200,0.05,16,16,0.7,0.7,0.7,0.7,16,16,0.01,0.01,100,0.1,10,0.201301357,0.798698643
5,5,100,0.1,16,16,0.7,0.7,0.7,0.7,80,80,0.01,0.01,200,0.05,10,0.20136849,0.79863151
5,5,100,0.1,16,16,0.5,0.5,0.9,0.9,64,64,0.01,0.01,200,0.05,10,0.201863496,0.798136504
5,5,200,0.05,16,16,0.5,0.5,0.9,0.9,64,64,0.01,0.01,100,0.1,10,0.20188955,0.79811045
7,7,100,0.1,16,16,0.7,0.7,0.7,0.7,80,80,0.01,0.01,200,0.05,10,0.201906242,0.798093758
5,5,200,0.05,16,16,0.5,0.5,0.9,0.9,32,32,1,1,200,0.05,10,0.201915269,0.798084731
7,7,200,0.05,16,16,0.5,0.5,0.9,0.9,64,64,0.01,0.01,100,0.1,10,0.202036477,0.797963523
9,9,100,0.1,16,16,0.7,0.7,0.7,0.7,80,80,0.01,0.01,200,0.05,10,0.202074526,0.797925474
7,7,200,0.05,16,16,0.5,0.5,0.9,0.9,32,32,1,1,200,0.05,10,0.202117577,0.797882423
9,9,200,0.05,16,16,0.5,0.5,0.9,0.9,64,64,0.01,0.01,100,0.1,10,0.202120642,0.797879358
9,9,200,0.05,16,16,0.5,0.5,0.9,0.9,32,32,1,1,200,0.05,10,0.202239172,0.797760828
5,5,100,0.1,16,16,0.7,0.7,0.7,0.7,64,64,0.1,0.1,200,0.05,10,0.202273956,0.797726044
9,9,100,0.1,16,16,0.5,0.5,0.9,0.9,64,64,0.01,0.01,200,0.05,10,0.2023308,0.7976692
5,5,200,0.05,16,16,0.5,0.5,0.9,0.9,32,32,0.01,0.01,200,0.05,10,0.202583001,0.797416999
5,5,200,0.05,16,16,0.7,0.7,0.7,0.7,80,80,0.1,0.1,200,0.05,10,0.202684499,0.797315501
7,7,200,0.05,16,16,0.5,0.5,0.9,0.9,32,32,0.01,0.01,200,0.05,10,0.202724899,0.797275101
