eps_lasso,n_alphas_lasso,n_estimators_random,min_samples_split_random,max_features_random,max_samples_random,max_depth_random,min_samples_leaf_random,degree,mse,r2
0.0001,450,100,64,0.5,0.5,9,9,10,0.115936386,0.884063614
0.0001,450,100,48,0.5,0.5,9,9,10,0.115936386,0.884063614
0.0001,450,100,16,0.5,0.5,9,9,10,0.115936386,0.884063614
0.0001,450,100,32,0.5,0.5,9,9,10,0.115936386,0.884063614
0.0001,450,50,32,0.7,0.7,9,9,10,0.116152553,0.883847447
0.0001,450,50,16,0.7,0.7,9,9,10,0.116152553,0.883847447
0.0001,450,50,64,0.7,0.7,9,9,10,0.116152553,0.883847447
0.0001,450,50,48,0.7,0.7,9,9,10,0.116152553,0.883847447
0.01,350,50,48,0.5,0.5,9,9,10,0.116438966,0.883561034
0.01,350,50,32,0.5,0.5,9,9,10,0.116438966,0.883561034
0.01,350,50,16,0.5,0.5,9,9,10,0.116438966,0.883561034
0.01,350,50,64,0.5,0.5,9,9,10,0.116438966,0.883561034
0.01,350,50,48,0.7,0.7,9,9,10,0.116457255,0.883542745
0.01,350,50,32,0.7,0.7,9,9,10,0.116457255,0.883542745
0.01,350,50,64,0.7,0.7,9,9,10,0.116457255,0.883542745
0.01,350,50,16,0.7,0.7,9,9,10,0.116457255,0.883542745
0.0001,450,50,48,0.5,0.5,9,9,10,0.116509618,0.883490382
0.0001,450,50,32,0.5,0.5,9,9,10,0.116509618,0.883490382
0.0001,450,50,16,0.5,0.5,9,9,10,0.116509618,0.883490382
0.0001,450,50,64,0.5,0.5,9,9,10,0.116509618,0.883490382
0.0001,450,100,16,0.5,0.5,7,7,10,0.11658005,0.88341995
0.0001,450,100,48,0.5,0.5,7,7,10,0.11658005,0.88341995
0.0001,450,100,32,0.5,0.5,7,7,10,0.11658005,0.88341995
0.0001,450,100,64,0.5,0.5,7,7,10,0.11658005,0.88341995
0.01,350,100,48,0.5,0.5,9,9,10,0.11699209,0.88300791
0.01,350,100,64,0.5,0.5,9,9,10,0.11699209,0.88300791
0.01,350,100,32,0.5,0.5,9,9,10,0.11699209,0.88300791
0.01,350,100,16,0.5,0.5,9,9,10,0.11699209,0.88300791
0.0001,450,50,48,0.5,0.5,7,7,10,0.117219745,0.882780255
0.0001,450,50,16,0.5,0.5,7,7,10,0.117219745,0.882780255
0.0001,450,50,64,0.5,0.5,7,7,10,0.117219745,0.882780255
0.0001,450,50,32,0.5,0.5,7,7,10,0.117219745,0.882780255
0.01,350,100,48,0.5,0.5,7,7,10,0.117376291,0.882623709
0.01,350,100,64,0.5,0.5,7,7,10,0.117376291,0.882623709
0.01,350,100,32,0.5,0.5,7,7,10,0.117376291,0.882623709
0.01,350,100,16,0.5,0.5,7,7,10,0.117376291,0.882623709
0.01,350,50,48,0.5,0.5,5,5,10,0.117473157,0.882526843
0.01,350,50,64,0.5,0.5,5,5,10,0.117473157,0.882526843
0.01,350,50,16,0.5,0.5,5,5,10,0.117473157,0.882526843
0.01,350,50,32,0.5,0.5,5,5,10,0.117473157,0.882526843
0.01,350,50,48,0.5,0.5,7,7,10,0.117642766,0.882357234
0.01,350,50,64,0.5,0.5,7,7,10,0.117642766,0.882357234
0.01,350,50,32,0.5,0.5,7,7,10,0.117642766,0.882357234
0.01,350,50,16,0.5,0.5,7,7,10,0.117642766,0.882357234
0.01,350,100,48,0.5,0.5,5,5,10,0.117866585,0.882133415
0.01,350,100,64,0.5,0.5,5,5,10,0.117866585,0.882133415
0.01,350,100,32,0.5,0.5,5,5,10,0.117866585,0.882133415
0.01,350,100,16,0.5,0.5,5,5,10,0.117866585,0.882133415
0.0001,450,100,48,0.5,0.5,5,5,10,0.118168174,0.881831826
0.0001,450,100,32,0.5,0.5,5,5,10,0.118168174,0.881831826
0.0001,450,100,64,0.5,0.5,5,5,10,0.118168174,0.881831826
0.0001,450,100,16,0.5,0.5,5,5,10,0.118168174,0.881831826
0.01,350,50,32,0.5,0.5,3,3,10,0.118923271,0.881076729
0.01,350,50,48,0.5,0.5,3,3,10,0.118923271,0.881076729
0.01,350,50,64,0.5,0.5,3,3,10,0.118923271,0.881076729
0.01,350,50,16,0.5,0.5,3,3,10,0.118923271,0.881076729
0.01,350,100,32,0.7,0.7,9,9,10,0.118954835,0.881045165
0.01,350,100,48,0.7,0.7,9,9,10,0.118954835,0.881045165
0.01,350,100,64,0.7,0.7,9,9,10,0.118954835,0.881045165
0.01,350,100,16,0.7,0.7,9,9,10,0.118954835,0.881045165
0.0001,450,50,64,0.5,0.5,5,5,10,0.119032548,0.880967452
0.0001,450,50,48,0.5,0.5,5,5,10,0.119032548,0.880967452
0.0001,450,50,16,0.5,0.5,5,5,10,0.119032548,0.880967452
0.0001,450,50,32,0.5,0.5,5,5,10,0.119032548,0.880967452
0.0001,450,100,48,0.5,0.5,3,3,10,0.119282431,0.880717569
0.0001,450,100,16,0.5,0.5,3,3,10,0.119282431,0.880717569
0.0001,450,100,64,0.5,0.5,3,3,10,0.119282431,0.880717569
0.0001,450,100,32,0.5,0.5,3,3,10,0.119282431,0.880717569
0.01,350,100,16,0.5,0.5,3,3,10,0.119386853,0.880613147
0.01,350,100,48,0.5,0.5,3,3,10,0.119386853,0.880613147
0.01,350,100,32,0.5,0.5,3,3,10,0.119386853,0.880613147
0.01,350,100,64,0.5,0.5,3,3,10,0.119386853,0.880613147
0.0001,450,100,64,0.7,0.7,9,9,10,0.119779999,0.880220001
0.0001,450,100,32,0.7,0.7,9,9,10,0.119779999,0.880220001
0.0001,450,100,48,0.7,0.7,9,9,10,0.119779999,0.880220001
0.0001,450,100,16,0.7,0.7,9,9,10,0.119779999,0.880220001
