eps_lasso,n_alphas_lasso,num_iterations_LGB,learning_rate_LGB,reg_lambda_LGB,min_child_samples_LGB,num_leaves_LGB,colsample_bytree_LGB,subsample_LGB,max_depth_LGB,max_bin_LGB,reg_alpha_LGB,degree,mse,r2
0.01,350,200,0.1,9,112,112,0.5,0.5,5,80,0.01,10,0.13286420913474625,0.8671357908652537
0.0001,450,200,0.1,9,112,112,0.5,0.5,5,80,0.01,10,0.13288187660286965,0.8671181233971303
0.01,350,200,0.1,7,80,80,0.5,0.5,5,80,1.0,10,0.13406780829417608,0.8659321917058239
0.0001,450,200,0.1,7,80,80,0.5,0.5,5,80,1.0,10,0.134080095292566,0.865919904707434
0.01,350,100,0.2,9,112,112,0.5,0.5,9,144,0.1,10,0.13461882489268026,0.8653811751073197
0.0001,450,100,0.2,9,112,112,0.5,0.5,9,144,0.1,10,0.13462944915809477,0.8653705508419052
0.01,350,200,0.1,9,112,112,0.5,0.5,3,48,0.01,10,0.13465911144391704,0.8653408885560829
0.0001,450,200,0.1,9,112,112,0.5,0.5,3,48,0.01,10,0.13467274431169385,0.8653272556883062
0.01,350,100,0.2,9,112,112,0.5,0.5,3,48,0.01,10,0.1351984335419084,0.8648015664580916
0.0001,450,100,0.2,9,112,112,0.5,0.5,3,48,0.01,10,0.1352087945717487,0.8647912054282513
0.01,350,100,0.2,9,112,112,0.7,0.7,5,80,1.0,10,0.13563771679161526,0.8643622832083847
0.0001,450,100,0.2,9,112,112,0.7,0.7,5,80,1.0,10,0.13565160775819995,0.8643483922418
0.01,350,200,0.1,9,112,112,0.7,0.7,7,112,1.0,10,0.13573554464713528,0.8642644553528647
0.0001,450,200,0.1,9,112,112,0.7,0.7,7,112,1.0,10,0.13575301549981644,0.8642469845001836
0.01,350,200,0.1,9,112,112,0.9,0.9,3,48,1.0,10,0.13577551365842744,0.8642244863415726
0.0001,450,200,0.1,9,112,112,0.9,0.9,3,48,1.0,10,0.13579131844100922,0.8642086815589908
0.01,350,200,0.1,9,112,112,0.7,0.7,3,48,0.01,10,0.13598839483669414,0.8640116051633059
0.0001,450,200,0.1,9,112,112,0.7,0.7,3,48,0.01,10,0.13600417495743458,0.8639958250425654
0.01,350,200,0.1,9,112,112,0.9,0.9,3,48,0.01,10,0.1360691217356181,0.8639308782643819
0.0001,450,200,0.1,9,112,112,0.9,0.9,3,48,0.01,10,0.13608371022048668,0.8639162897795133
0.01,350,200,0.1,9,112,112,0.7,0.7,3,48,0.1,10,0.13609080347173302,0.863909196528267
0.0001,450,200,0.1,9,112,112,0.7,0.7,3,48,0.1,10,0.1361030543978325,0.8638969456021675
0.01,350,100,0.2,7,80,80,0.5,0.5,3,48,1.0,10,0.13645413620250793,0.8635458637974921
0.0001,450,100,0.2,7,80,80,0.5,0.5,3,48,1.0,10,0.13647644001201306,0.8635235599879869
0.01,350,100,0.2,7,80,80,0.5,0.5,3,48,0.1,10,0.13673478636812755,0.8632652136318725
0.0001,450,100,0.2,7,80,80,0.5,0.5,3,48,0.1,10,0.13675155740789047,0.8632484425921095
0.01,350,100,0.2,9,112,112,0.9,0.9,5,80,0.01,10,0.13694546463343887,0.8630545353665611
0.0001,450,100,0.2,9,112,112,0.9,0.9,5,80,0.01,10,0.13695797743043026,0.8630420225695697
0.01,350,100,0.2,9,112,112,0.9,0.9,3,48,0.1,10,0.13710206193210472,0.8628979380678953
0.01,350,100,0.2,9,112,112,0.5,0.5,3,48,1.0,10,0.13710793537403812,0.8628920646259619
0.0001,450,100,0.2,9,112,112,0.9,0.9,3,48,0.1,10,0.1371139708756625,0.8628860291243375
0.0001,450,100,0.2,9,112,112,0.5,0.5,3,48,1.0,10,0.13712845587613326,0.8628715441238668
0.01,350,200,0.1,7,80,80,0.5,0.5,3,48,0.01,10,0.13734224364100275,0.8626577563589972
0.0001,450,200,0.1,7,80,80,0.5,0.5,3,48,0.01,10,0.13735517492592783,0.8626448250740721
0.01,350,200,0.1,9,112,112,0.5,0.5,5,80,1.0,10,0.13746805677453658,0.8625319432254634
0.0001,450,200,0.1,9,112,112,0.5,0.5,5,80,1.0,10,0.13747605813376876,0.8625239418662313
0.01,350,200,0.1,9,112,112,0.5,0.5,9,144,0.01,10,0.13792254878578047,0.8620774512142195
0.0001,450,200,0.1,9,112,112,0.5,0.5,9,144,0.01,10,0.13793910295231462,0.8620608970476854
0.01,350,200,0.1,9,112,112,0.5,0.5,5,80,0.1,10,0.13802736456885056,0.8619726354311494
0.0001,450,200,0.1,9,112,112,0.5,0.5,5,80,0.1,10,0.1380417942472655,0.8619582057527345
0.01,350,200,0.1,9,112,112,0.9,0.9,5,80,1.0,10,0.13818559208274872,0.8618144079172513
0.0001,450,200,0.1,9,112,112,0.9,0.9,5,80,1.0,10,0.1382007932781879,0.8617992067218121
