eps_lasso,n_alphas_lasso,n_estimators_XGB,learning_rate_XGB,max_depth_XGB,reg_lambda_XGB,subsample_XGB,colsample_bytree_XGB,min_child_weight_XGB,reg_alpha_XGB,degree,mse,r2
0.01,350,200,0.1,3,3,0.5,0.5,48,1.0,10,0.11950948784447489,0.8804905121555251
0.0001,450,200,0.1,3,3,0.5,0.5,48,1.0,10,0.11952353031845077,0.8804764696815492
0.01,350,100,0.2,7,7,0.9,0.9,80,1.0,10,0.11980508733721987,0.8801949126627802
0.0001,450,100,0.2,7,7,0.9,0.9,80,1.0,10,0.11982447080465444,0.8801755291953456
0.01,350,200,0.1,5,5,0.7,0.7,80,0.1,10,0.11987698531068829,0.8801230146893118
0.0001,450,200,0.1,5,5,0.7,0.7,80,0.1,10,0.11988853457745523,0.8801114654225448
0.01,350,200,0.1,7,7,0.5,0.5,48,0.1,10,0.11994629954995203,0.8800537004500479
0.0001,450,200,0.1,7,7,0.5,0.5,48,0.1,10,0.1199606248012163,0.8800393751987837
0.01,350,200,0.1,9,9,0.5,0.5,48,0.01,10,0.12011307772293725,0.8798869222770628
0.0001,450,200,0.1,9,9,0.5,0.5,48,0.01,10,0.12012328444465542,0.8798767155553446
0.01,350,200,0.1,9,9,0.5,0.5,48,1.0,10,0.12017939359336012,0.8798206064066398
0.0001,450,200,0.1,9,9,0.5,0.5,48,1.0,10,0.12019327387255142,0.8798067261274486
0.01,350,200,0.1,5,5,0.9,0.9,80,0.01,10,0.12035922100977021,0.8796407789902297
0.0001,450,200,0.1,5,5,0.9,0.9,80,0.01,10,0.12037519888838341,0.8796248011116166
0.01,350,200,0.1,5,5,0.5,0.5,48,0.01,10,0.12040743612635485,0.8795925638736452
0.0001,450,200,0.1,5,5,0.5,0.5,48,0.01,10,0.12041907041731023,0.8795809295826897
0.01,350,200,0.1,5,5,0.7,0.7,80,0.01,10,0.12043763236144632,0.8795623676385537
0.0001,450,200,0.1,5,5,0.7,0.7,80,0.01,10,0.12045032546371855,0.8795496745362814
0.01,350,200,0.1,9,9,0.5,0.5,48,0.1,10,0.12047408035204007,0.8795259196479599
0.01,350,200,0.1,9,9,0.9,0.9,80,1.0,10,0.1204762683848711,0.8795237316151289
0.0001,450,200,0.1,9,9,0.5,0.5,48,0.1,10,0.1204855533422521,0.8795144466577479
0.0001,450,200,0.1,9,9,0.9,0.9,80,1.0,10,0.12049436953920407,0.8795056304607959
0.01,350,200,0.1,3,3,0.7,0.7,80,0.1,10,0.12050073325043614,0.8794992667495638
