eps_lasso,n_alphas_lasso,n_estimators_random,min_samples_split_random,max_features_random,max_samples_random,max_depth_random,min_samples_leaf_random,degree,mse,r2
0.0001,450,100,9,0.5,0.5,9,112,10,0.11593638599446388,0.8840636140055361
0.0001,450,100,7,0.5,0.5,9,112,10,0.11593638599446422,0.8840636140055358
0.0001,450,100,3,0.5,0.5,9,112,10,0.11593638599446501,0.884063614005535
0.0001,450,100,5,0.5,0.5,9,112,10,0.11593638599446524,0.8840636140055348
0.0001,450,50,5,0.7,0.7,9,112,10,0.1161525527081873,0.8838474472918127
0.0001,450,50,3,0.7,0.7,9,112,10,0.11615255270818786,0.8838474472918121
0.0001,450,50,9,0.7,0.7,9,112,10,0.11615255270819032,0.8838474472918096
0.0001,450,50,7,0.7,0.7,9,112,10,0.11615255270819254,0.8838474472918074
0.01,350,50,7,0.5,0.5,9,112,10,0.11643896569712436,0.8835610343028757
0.01,350,50,5,0.5,0.5,9,112,10,0.1164389656971244,0.8835610343028756
0.01,350,50,3,0.5,0.5,9,112,10,0.11643896569712535,0.8835610343028747
0.01,350,50,9,0.5,0.5,9,112,10,0.1164389656971269,0.8835610343028731
0.01,350,50,7,0.7,0.7,9,112,10,0.11645725497734366,0.8835427450226563
0.01,350,50,5,0.7,0.7,9,112,10,0.1164572549773445,0.8835427450226555
0.01,350,50,9,0.7,0.7,9,112,10,0.1164572549773465,0.8835427450226535
0.01,350,50,3,0.7,0.7,9,112,10,0.11645725497734717,0.8835427450226528
0.0001,450,50,7,0.5,0.5,9,112,10,0.11650961844487796,0.883490381555122
0.0001,450,50,5,0.5,0.5,9,112,10,0.11650961844488071,0.8834903815551193
0.0001,450,50,3,0.5,0.5,9,112,10,0.11650961844488322,0.8834903815551167
0.0001,450,50,9,0.5,0.5,9,112,10,0.11650961844488367,0.8834903815551163
0.0001,450,100,3,0.5,0.5,7,80,10,0.11658004988503372,0.8834199501149663
0.0001,450,100,7,0.5,0.5,7,80,10,0.11658004988503423,0.8834199501149658
0.0001,450,100,5,0.5,0.5,7,80,10,0.11658004988503425,0.8834199501149658
0.0001,450,100,9,0.5,0.5,7,80,10,0.11658004988503523,0.8834199501149648
0.01,350,100,7,0.5,0.5,9,112,10,0.11699208950746859,0.8830079104925315
0.01,350,100,9,0.5,0.5,9,112,10,0.11699208950746909,0.8830079104925309
0.01,350,100,5,0.5,0.5,9,112,10,0.11699208950746999,0.88300791049253
0.01,350,100,3,0.5,0.5,9,112,10,0.11699208950747171,0.8830079104925282
0.0001,450,50,7,0.5,0.5,7,80,10,0.11721974463267272,0.8827802553673273
0.0001,450,50,3,0.5,0.5,7,80,10,0.11721974463267303,0.882780255367327
0.0001,450,50,9,0.5,0.5,7,80,10,0.11721974463267387,0.8827802553673261
0.0001,450,50,5,0.5,0.5,7,80,10,0.1172197446326744,0.8827802553673256
0.01,350,100,7,0.5,0.5,7,80,10,0.11737629115826133,0.8826237088417387
0.01,350,100,9,0.5,0.5,7,80,10,0.11737629115826254,0.8826237088417375
0.01,350,100,5,0.5,0.5,7,80,10,0.11737629115826599,0.882623708841734
0.01,350,100,3,0.5,0.5,7,80,10,0.11737629115826637,0.8826237088417337
0.01,350,50,7,0.5,0.5,5,48,10,0.11747315688131346,0.8825268431186866
0.01,350,50,9,0.5,0.5,5,48,10,0.11747315688131399,0.882526843118686
0.01,350,50,3,0.5,0.5,5,48,10,0.11747315688131445,0.8825268431186856
0.01,350,50,5,0.5,0.5,5,48,10,0.11747315688131445,0.8825268431186856
0.01,350,50,7,0.5,0.5,7,80,10,0.11764276557748753,0.8823572344225125
0.01,350,50,9,0.5,0.5,7,80,10,0.1176427655774891,0.8823572344225109
0.01,350,50,5,0.5,0.5,7,80,10,0.11764276557749076,0.8823572344225092
0.01,350,50,3,0.5,0.5,7,80,10,0.11764276557749082,0.8823572344225092
0.01,350,100,7,0.5,0.5,5,48,10,0.1178665850356896,0.8821334149643104
0.01,350,100,9,0.5,0.5,5,48,10,0.11786658503569163,0.8821334149643084
0.01,350,100,5,0.5,0.5,5,48,10,0.11786658503569339,0.8821334149643066
0.01,350,100,3,0.5,0.5,5,48,10,0.11786658503569343,0.8821334149643065
0.0001,450,100,7,0.5,0.5,5,48,10,0.118168173602125,0.881831826397875
0.0001,450,100,5,0.5,0.5,5,48,10,0.11816817360212542,0.8818318263978746
0.0001,450,100,9,0.5,0.5,5,48,10,0.11816817360212543,0.8818318263978746
0.0001,450,100,3,0.5,0.5,5,48,10,0.11816817360212645,0.8818318263978735
0.01,350,50,5,0.5,0.5,3,16,10,0.11892327081928852,0.8810767291807114
0.01,350,50,7,0.5,0.5,3,16,10,0.1189232708192891,0.8810767291807109
0.01,350,50,9,0.5,0.5,3,16,10,0.11892327081929008,0.8810767291807099
0.01,350,50,3,0.5,0.5,3,16,10,0.11892327081929102,0.881076729180709
0.01,350,100,5,0.7,0.7,9,112,10,0.11895483543872677,0.8810451645612732
0.01,350,100,7,0.7,0.7,9,112,10,0.11895483543872779,0.8810451645612722
0.01,350,100,9,0.7,0.7,9,112,10,0.11895483543872815,0.8810451645612718
0.01,350,100,3,0.7,0.7,9,112,10,0.11895483543873267,0.8810451645612674
0.0001,450,50,9,0.5,0.5,5,48,10,0.1190325482130044,0.8809674517869956
0.0001,450,50,7,0.5,0.5,5,48,10,0.11903254821300478,0.8809674517869952
0.0001,450,50,3,0.5,0.5,5,48,10,0.11903254821300481,0.8809674517869952
0.0001,450,50,5,0.5,0.5,5,48,10,0.11903254821300747,0.8809674517869925
0.0001,450,100,7,0.5,0.5,3,16,10,0.11928243078758653,0.8807175692124135
0.0001,450,100,3,0.5,0.5,3,16,10,0.11928243078758657,0.8807175692124134
0.0001,450,100,9,0.5,0.5,3,16,10,0.1192824307875866,0.8807175692124134
0.0001,450,100,5,0.5,0.5,3,16,10,0.11928243078758663,0.8807175692124134
0.01,350,100,3,0.5,0.5,3,16,10,0.11938685301024475,0.8806131469897552
0.01,350,100,7,0.5,0.5,3,16,10,0.11938685301024593,0.880613146989754
0.01,350,100,5,0.5,0.5,3,16,10,0.11938685301024819,0.8806131469897518
0.01,350,100,9,0.5,0.5,3,16,10,0.11938685301025119,0.8806131469897488
0.0001,450,100,9,0.7,0.7,9,112,10,0.11977999899500268,0.8802200010049973
0.0001,450,100,5,0.7,0.7,9,112,10,0.11977999899500366,0.8802200010049963
0.0001,450,100,7,0.7,0.7,9,112,10,0.119779998995005,0.880220001004995
0.0001,450,100,3,0.7,0.7,9,112,10,0.11977999899500583,0.8802200010049942
0.01,350,50,5,0.7,0.7,7,80,10,0.12019155671456773,0.8798084432854323
0.01,350,50,3,0.7,0.7,7,80,10,0.1201915567145696,0.8798084432854304
0.01,350,50,9,0.7,0.7,7,80,10,0.1201915567145696,0.8798084432854304
0.01,350,50,7,0.7,0.7,7,80,10,0.12019155671456963,0.8798084432854304
0.0001,450,50,9,0.7,0.7,7,80,10,0.1205254090762954,0.8794745909237046
0.0001,450,50,5,0.7,0.7,7,80,10,0.12052540907629956,0.8794745909237004
0.0001,450,50,7,0.7,0.7,7,80,10,0.12052540907629987,0.8794745909237002
0.0001,450,50,3,0.7,0.7,7,80,10,0.12052540907630024,0.8794745909236997
0.01,350,100,7,0.7,0.7,7,80,10,0.12057160873340109,0.8794283912665989
0.01,350,100,3,0.7,0.7,7,80,10,0.12057160873340142,0.8794283912665986
0.01,350,100,9,0.7,0.7,7,80,10,0.1205716087334027,0.8794283912665973
0.01,350,100,5,0.7,0.7,7,80,10,0.12057160873340304,0.879428391266597
0.0001,450,50,9,0.5,0.5,3,16,10,0.12086789512326218,0.8791321048767378
0.0001,450,50,5,0.5,0.5,3,16,10,0.1208678951232622,0.8791321048767378
0.0001,450,50,7,0.5,0.5,3,16,10,0.12086789512326265,0.8791321048767373
0.0001,450,50,3,0.5,0.5,3,16,10,0.12086789512326274,0.8791321048767373
0.0001,450,100,3,0.7,0.7,7,80,10,0.12096568052368807,0.8790343194763119
0.0001,450,100,9,0.7,0.7,7,80,10,0.12096568052368813,0.8790343194763118
0.0001,450,100,7,0.7,0.7,7,80,10,0.12096568052369179,0.8790343194763082
0.0001,450,100,5,0.7,0.7,7,80,10,0.12096568052369215,0.8790343194763078
0.01,350,50,5,0.7,0.7,5,48,10,0.1210624072830193,0.8789375927169807
0.01,350,50,7,0.7,0.7,5,48,10,0.12106240728301983,0.8789375927169801
0.01,350,50,9,0.7,0.7,5,48,10,0.1210624072830219,0.8789375927169781
0.01,350,50,3,0.7,0.7,5,48,10,0.12106240728302194,0.878937592716978
0.0001,450,50,7,0.9,0.9,9,112,10,0.12175968007549245,0.8782403199245076
0.0001,450,50,9,0.9,0.9,9,112,10,0.1217596800754926,0.8782403199245075
0.0001,450,50,5,0.9,0.9,9,112,10,0.12175968007549333,0.8782403199245067
0.0001,450,50,3,0.9,0.9,9,112,10,0.1217596800754972,0.8782403199245028
0.01,350,50,3,0.9,0.9,9,112,10,0.12181171638395843,0.8781882836160415
0.01,350,50,9,0.9,0.9,9,112,10,0.12181171638395849,0.8781882836160415
0.01,350,50,7,0.9,0.9,9,112,10,0.12181171638396025,0.8781882836160397
0.01,350,50,5,0.9,0.9,9,112,10,0.12181171638396032,0.8781882836160397
0.01,350,50,3,0.7,0.7,3,16,10,0.12284289306419274,0.8771571069358073
