max_depth_XGB,reg_lambda_XGB,n_estimators_random,n_estimators_XGB,learning_rate_XGB,min_samples_split_random,max_features_random,max_samples_random,subsample_XGB,colsample_bytree_XGB,min_samples_leaf_random,max_depth_random,min_child_weight_XGB,reg_alpha_XGB,degree,mse,r2,mse_y,auc_t
9,9,100,200,0.1,16,0.7,0.7,0.7,0.7,7,7,7,1,10,0.134932765,0.865067235,1.061120225,0.514019141
7,7,100,200,0.1,16,0.7,0.7,0.7,0.7,7,7,7,1,10,0.135345651,0.864654349,1.061120225,0.511927091
5,5,100,200,0.1,16,0.7,0.7,0.7,0.7,7,7,7,1,10,0.137083682,0.862916318,1.061120225,0.511927091
7,7,100,200,0.1,80,0.7,0.7,0.7,0.7,7,7,7,1,10,0.137763465,0.862236535,1.060313217,0.511927091
9,9,100,200,0.1,80,0.7,0.7,0.7,0.7,7,7,7,1,10,0.138427238,0.861572762,1.060313217,0.514019141
7,7,100,200,0.1,16,0.7,0.7,0.7,0.7,7,7,7,0.01,10,0.140499804,0.859500196,1.061120225,0.513086669
9,9,100,200,0.1,16,0.7,0.7,0.7,0.7,7,7,7,0.01,10,0.14065911,0.85934089,1.061120225,0.514943597
9,9,100,200,0.1,16,0.7,0.7,0.7,0.7,9,9,9,1,10,0.140908434,0.859091566,1.064254238,0.51738833
9,9,100,200,0.1,48,0.7,0.7,0.7,0.7,7,7,7,1,10,0.140938844,0.859061156,1.061359697,0.514019141
9,9,100,200,0.1,16,0.7,0.7,0.7,0.7,9,9,9,0.1,10,0.142205537,0.857794463,1.064254238,0.519656722
5,5,100,200,0.1,80,0.7,0.7,0.7,0.7,7,7,7,1,10,0.142534771,0.857465229,1.060313217,0.511927091
9,9,100,200,0.1,16,0.7,0.7,0.7,0.7,9,9,9,0.01,10,0.142672249,0.857327751,1.064254238,0.510187723
9,9,100,200,0.1,80,0.7,0.7,0.7,0.7,7,7,7,0.01,10,0.144395993,0.855604007,1.060313217,0.514943597
5,5,100,200,0.1,16,0.7,0.7,0.7,0.7,7,7,7,0.1,10,0.144484756,0.855515244,1.061120225,0.502458092
9,9,100,200,0.1,16,0.7,0.7,0.7,0.7,7,7,7,0.1,10,0.145186136,0.854813864,1.061120225,0.515002378
5,5,100,200,0.1,48,0.7,0.7,0.7,0.7,7,7,7,1,10,0.145439801,0.854560199,1.061359697,0.511927091
7,7,100,200,0.1,16,0.9,0.9,0.5,0.5,9,9,9,1,10,0.145666717,0.854333283,1.068723629,0.516926102
9,9,100,200,0.1,48,0.7,0.7,0.7,0.7,9,9,9,1,10,0.145683675,0.854316325,1.061833626,0.51738833
5,5,100,200,0.1,16,0.7,0.7,0.7,0.7,9,9,9,1,10,0.14617247,0.85382753,1.064254238,0.498223227
9,9,100,200,0.1,48,0.7,0.7,0.7,0.7,7,7,7,0.01,10,0.146354963,0.853645037,1.061359697,0.514943597
9,9,100,200,0.1,80,0.7,0.7,0.7,0.7,9,9,9,0.1,10,0.146458394,0.853541606,1.059824322,0.519656722
7,7,100,200,0.1,48,0.9,0.9,0.5,0.5,7,7,7,1,10,0.146598516,0.853401484,1.062165477,0.523194237
5,5,100,200,0.1,16,0.5,0.5,0.9,0.9,7,7,7,0.1,10,0.146712871,0.853287129,1.063145702,0.512271758
7,7,100,200,0.1,16,0.9,0.9,0.5,0.5,7,7,7,1,10,0.146788711,0.853211289,1.066555186,0.523194237
9,9,100,200,0.1,16,0.7,0.7,0.7,0.7,5,5,5,0.01,10,0.146795271,0.853204729,1.06055672,0.520287276
7,7,100,200,0.1,48,0.9,0.9,0.5,0.5,9,9,9,1,10,0.146877971,0.853122029,1.062968105,0.516926102
9,9,100,200,0.1,48,0.7,0.7,0.7,0.7,9,9,9,0.1,10,0.146990172,0.853009828,1.061833626,0.519656722
7,7,100,200,0.1,16,0.7,0.7,0.7,0.7,9,9,9,0.1,10,0.147135465,0.852864535,1.064254238,0.507280762
9,9,100,200,0.1,16,0.9,0.9,0.5,0.5,9,9,9,1,10,0.147350762,0.852649238,1.068723629,0.527437118
9,9,100,200,0.1,80,0.7,0.7,0.7,0.7,9,9,9,1,10,0.147442356,0.852557644,1.059824322,0.51738833
7,7,100,200,0.1,16,0.7,0.7,0.7,0.7,7,7,7,0.1,10,0.147521033,0.852478967,1.061120225,0.518312787
5,5,100,200,0.1,16,0.7,0.7,0.7,0.7,5,5,5,1,10,0.147590467,0.852409533,1.06055672,0.514136702
7,7,100,200,0.1,80,0.9,0.9,0.5,0.5,7,7,7,1,10,0.148009724,0.851990276,1.059765484,0.523194237
9,9,100,200,0.1,48,0.5,0.5,0.9,0.9,9,9,9,0.1,10,0.148090217,0.851909783,1.060661105,0.506062403
5,5,100,200,0.1,48,0.9,0.9,0.5,0.5,7,7,7,1,10,0.148196014,0.851803986,1.062165477,0.516455859
7,7,100,200,0.1,16,0.7,0.7,0.7,0.7,5,5,5,0.01,10,0.148197099,0.851802901,1.06055672,0.510649952
9,9,100,200,0.1,48,0.9,0.9,0.5,0.5,7,7,7,0.01,10,0.148343376,0.851656624,1.062165477,0.509893821
5,5,100,200,0.1,80,0.7,0.7,0.7,0.7,7,7,7,0.1,10,0.148345284,0.851654716,1.060313217,0.502458092
7,7,100,200,0.1,16,0.7,0.7,0.7,0.7,9,9,9,1,10,0.148366296,0.851633704,1.064254238,0.508793023
5,5,100,200,0.1,80,0.5,0.5,0.9,0.9,7,7,7,0.1,10,0.148498568,0.851501432,1.058247333,0.512271758
9,9,100,200,0.1,16,0.9,0.9,0.5,0.5,7,7,7,0.01,10,0.148569842,0.851430158,1.066555186,0.509893821
5,5,100,200,0.1,16,0.5,0.5,0.9,0.9,7,7,7,0.01,10,0.148637498,0.851362502,1.063145702,0.51186831
9,9,100,200,0.1,80,0.7,0.7,0.7,0.7,5,5,5,0.01,10,0.14881608,0.85118392,1.061032594,0.520287276
