n_estimators_random,min_samples_split_random,max_features_random,max_samples_random,max_depth_random,min_samples_leaf_random,degree,mse,r2,mse_y,auc_t
100,16,0.7,0.7,7,7,10,0.131014617,0.868985383,1.061120225,0.504037149
50,16,0.9,0.9,7,7,10,0.131366472,0.868633528,1.065848158,0.504037149
100,16,0.7,0.7,9,9,10,0.132055493,0.867944507,1.064254238,0.504037149
100,16,0.5,0.5,7,7,10,0.13274291,0.86725709,1.063145702,0.504037149
50,16,0.9,0.9,9,9,10,0.13278195,0.86721805,1.068622406,0.504037149
50,32,0.7,0.7,9,9,10,0.133325494,0.866674506,1.062436157,0.504037149
100,16,0.9,0.9,7,7,10,0.133400928,0.866599072,1.066555186,0.504037149
100,16,0.9,0.9,9,9,10,0.133707367,0.866292633,1.068723629,0.504037149
100,32,0.7,0.7,9,9,10,0.134341082,0.865658918,1.062387302,0.504037149
50,32,0.9,0.9,9,9,10,0.134656868,0.865343132,1.068207387,0.504037149
50,16,0.7,0.7,9,9,10,0.135191746,0.864808254,1.065455196,0.504037149
100,32,0.9,0.9,9,9,10,0.135782494,0.864217506,1.064333111,0.504037149
50,32,0.9,0.9,7,7,10,0.135939981,0.864060019,1.063200273,0.504037149
100,48,0.9,0.9,9,9,10,0.136063919,0.863936081,1.062968105,0.504037149
100,48,0.9,0.9,7,7,10,0.1360759,0.8639241,1.062165477,0.504037149
100,16,0.7,0.7,5,5,10,0.136685676,0.863314324,1.06055672,0.504037149
50,48,0.7,0.7,9,9,10,0.137082906,0.862917094,1.063365688,0.504037149
100,48,0.5,0.5,9,9,10,0.137124524,0.862875476,1.060661105,0.504037149
50,32,0.5,0.5,9,9,10,0.13715095,0.86284905,1.06221506,0.504037149
100,32,0.5,0.5,9,9,10,0.137256146,0.862743854,1.060756296,0.504037149
50,32,0.7,0.7,7,7,10,0.137363279,0.862636721,1.062932174,0.504037149
100,32,0.9,0.9,7,7,10,0.137373921,0.862626079,1.063906636,0.504037149
100,48,0.5,0.5,7,7,10,0.137444599,0.862555401,1.060226135,0.504037149
100,32,0.5,0.5,7,7,10,0.137612179,0.862387821,1.060804432,0.504037149
100,16,0.5,0.5,9,9,10,0.138027807,0.861972193,1.062496179,0.504037149
50,16,0.5,0.5,9,9,10,0.138254732,0.861745268,1.062516602,0.504037149
100,16,0.9,0.9,5,5,10,0.138470818,0.861529182,1.061867373,0.504037149
100,48,0.5,0.5,5,5,10,0.138786193,0.861213807,1.061027046,0.504037149
50,16,0.7,0.7,7,7,10,0.139014725,0.860985275,1.060829592,0.504037149
100,16,0.5,0.5,5,5,10,0.139098169,0.860901831,1.059695653,0.504037149
50,16,0.5,0.5,7,7,10,0.139237975,0.860762025,1.062327326,0.504037149
100,32,0.7,0.7,7,7,10,0.13945929,0.86054071,1.061336512,0.504037149
100,48,0.7,0.7,9,9,10,0.139520768,0.860479232,1.061833626,0.504037149
100,32,0.9,0.9,5,5,10,0.140020765,0.859979235,1.059632672,0.504037149
50,48,0.9,0.9,9,9,10,0.140157374,0.859842626,1.064494312,0.504037149
100,48,0.9,0.9,5,5,10,0.140243709,0.859756291,1.059862553,0.504037149
50,32,0.5,0.5,7,7,10,0.140547278,0.859452722,1.062687272,0.504037149
50,48,0.7,0.7,7,7,10,0.140650308,0.859349692,1.061970418,0.504037149
100,32,0.7,0.7,5,5,10,0.14078053,0.85921947,1.061269019,0.504037149
50,32,0.5,0.5,5,5,10,0.1410219,0.8589781,1.059161252,0.504037149
50,48,0.9,0.9,7,7,10,0.141251846,0.858748154,1.065035804,0.504037149
50,16,0.9,0.9,5,5,10,0.141418503,0.858581497,1.062820654,0.504037149
50,16,0.7,0.7,5,5,10,0.141566823,0.858433177,1.060684712,0.504037149
50,48,0.5,0.5,7,7,10,0.141851986,0.858148014,1.061489007,0.504037149
50,48,0.5,0.5,9,9,10,0.141950469,0.858049531,1.060852509,0.504037149
100,48,0.7,0.7,7,7,10,0.142506045,0.857493955,1.061359697,0.504037149
100,32,0.5,0.5,5,5,10,0.142641476,0.857358524,1.061017409,0.504037149
50,32,0.9,0.9,5,5,10,0.143068981,0.856931019,1.061181598,0.504037149
50,48,0.9,0.9,5,5,10,0.143209806,0.856790194,1.059838065,0.504037149
50,48,0.5,0.5,5,5,10,0.14349234,0.85650766,1.060412989,0.504037149
100,48,0.7,0.7,5,5,10,0.143722087,0.856277913,1.060026046,0.504037149
50,32,0.7,0.7,5,5,10,0.144295934,0.855704066,1.060910404,0.504037149
50,48,0.7,0.7,5,5,10,0.145141941,0.854858059,1.060437542,0.504037149
50,16,0.5,0.5,5,5,10,0.149248217,0.850751783,1.05588901,0.504037149
50,32,0.5,0.5,3,3,10,0.150199435,0.849800565,1.062558065,0.504037149
50,48,0.5,0.5,3,3,10,0.15175161,0.84824839,1.06363759,0.504037149
50,16,0.5,0.5,3,3,10,0.152005434,0.847994566,1.061977489,0.504037149
100,32,0.5,0.5,3,3,10,0.159410299,0.840589701,1.063682139,0.504037149
100,16,0.5,0.5,3,3,10,0.161096048,0.838903952,1.063852479,0.504037149
100,48,0.5,0.5,3,3,10,0.161714596,0.838285404,1.063736897,0.504037149
100,32,0.9,0.9,3,3,10,0.163257793,0.836742207,1.058086983,0.504037149
100,16,0.9,0.9,3,3,10,0.163345615,0.836654385,1.058736237,0.504037149
100,48,0.9,0.9,3,3,10,0.163357461,0.836642539,1.05836974,0.504037149
100,16,0.7,0.7,3,3,10,0.163650112,0.836349888,1.0637368,0.504037149
100,32,0.7,0.7,3,3,10,0.16377024,0.83622976,1.064602899,0.504037149
100,48,0.7,0.7,3,3,10,0.164658615,0.835341385,1.064384026,0.504037149
50,16,0.7,0.7,3,3,10,0.166198129,0.833801871,1.063179316,0.504037149
50,32,0.7,0.7,3,3,10,0.166271215,0.833728785,1.063168713,0.504037149
50,48,0.7,0.7,3,3,10,0.16644109,0.83355891,1.063885226,0.504037149
50,32,0.9,0.9,3,3,10,0.170271375,0.829728625,1.058810776,0.504037149
50,48,0.9,0.9,3,3,10,0.170276833,0.829723167,1.05896781,0.504037149
50,16,0.9,0.9,3,3,10,0.170352119,0.829647881,1.058425584,0.504037149
50,48,0.5,0.5,1,1,10,0.173074223,0.826925777,1.091906749,0.504037149
50,16,0.5,0.5,1,1,10,0.173074223,0.826925777,1.091906749,0.504037149
50,32,0.5,0.5,1,1,10,0.173074223,0.826925777,1.091906749,0.504037149
50,16,0.7,0.7,1,1,10,0.177599769,0.822400231,1.091456455,0.504037149
50,48,0.7,0.7,1,1,10,0.177599769,0.822400231,1.091456455,0.504037149
50,32,0.7,0.7,1,1,10,0.177599769,0.822400231,1.091456455,0.504037149
100,48,0.5,0.5,1,1,10,0.177650117,0.822349883,1.09367036,0.504037149
100,32,0.5,0.5,1,1,10,0.177650117,0.822349883,1.09367036,0.504037149
100,16,0.5,0.5,1,1,10,0.177650117,0.822349883,1.09367036,0.504037149
100,32,0.7,0.7,1,1,10,0.182177266,0.817822734,1.094022315,0.504037149
100,48,0.7,0.7,1,1,10,0.182177266,0.817822734,1.094022315,0.504037149
100,16,0.7,0.7,1,1,10,0.182177266,0.817822734,1.094022315,0.504037149
50,48,0.9,0.9,1,1,10,0.186044389,0.813955611,1.083856606,0.504037149
50,16,0.9,0.9,1,1,10,0.186044389,0.813955611,1.083856606,0.504037149
50,32,0.9,0.9,1,1,10,0.186044389,0.813955611,1.083856606,0.504037149
100,48,0.9,0.9,1,1,10,0.188770928,0.811229072,1.086465146,0.504037149
100,16,0.9,0.9,1,1,10,0.188770928,0.811229072,1.086465146,0.504037149
100,32,0.9,0.9,1,1,10,0.188770928,0.811229072,1.086465146,0.504037149
100,16,0.7,0.7,9,9,5,0.324150612,0.675849388,1.064254238,0.504037149
100,16,0.7,0.7,7,7,5,0.324884543,0.675115457,1.061120225,0.504037149
100,32,0.7,0.7,9,9,5,0.325848245,0.674151755,1.062387302,0.504037149
50,32,0.7,0.7,9,9,5,0.326566571,0.673433429,1.062436157,0.504037149
50,16,0.7,0.7,9,9,5,0.329150466,0.670849534,1.065455196,0.504037149
100,16,0.5,0.5,7,7,5,0.329759548,0.670240452,1.063145702,0.504037149
