被解释变量预测模型,处理变量预测模型,超参数,超参数取值,超参数取值占比
Lasso,朴素贝叶斯,eps,0.0001,50.00%
,,,0.01,50.00%
,,n_alphas,250,50.00%
,,,450,50.00%
,,degree,5,0.00%
,,,10,100.00%
,Lightgbm,eps,0.0001,50.00%
,,,0.01,50.00%
,,n_alphas,350,50.00%
,,,450,50.00%
,,num_iterations,100,44.71%
,,,200,55.29%
,,learning_rate,0.1,55.29%
,,,0.2,44.71%
,,reg_lambda,3,3.53%
,,,5,11.76%
,,,7,24.71%
,,,9,60.00%
,,min_child_samples,16,3.53%
,,,48,11.76%
,,,80,24.71%
,,,112,60.00%
,,num_leaves,16,3.53%
,,,48,11.76%
,,,80,24.71%
,,,112,60.00%
,,colsample_bytree,0.5,43.53%
,,,0.7,30.59%
,,,0.9,25.88%
,,subsample,0.5,43.53%
,,,0.7,30.59%
,,,0.9,25.88%
,,max_depth,3,51.76%
,,,5,27.06%
,,,7,15.29%
,,,9,5.88%
,,max_bin,48,51.76%
,,,80,27.06%
,,,112,15.29%
,,,144,5.88%
,,reg_alpha,0.01,29.41%
,,,0.1,29.41%
,,,1,41.18%
,,degree,5,0.00%
,,,10,100.00%
,随机森林,eps,0.0001,42.86%
,,,0.01,57.14%
,,n_alphas,350,57.14%
,,,450,42.86%
,,n_estimators,50,57.14%
,,,100,42.86%
,,min_samples_split,3,25.00%
,,,5,25.00%
,,,7,25.00%
,,,9,25.00%
,,max_features,0.5,85.71%
,,,0.7,14.29%
,,max_samples,0.5,85.71%
,,,0.7,14.29%
,,max_depth,3,7.14%
,,,5,21.43%
,,,7,28.57%
,,,9,42.86%
,,min_samples_leaf,16,7.14%
,,,48,21.43%
,,,80,28.57%
,,,112,42.86%
,,degree,5,0.00%
,,,10,100.00%
,XGBoost,eps,0.0001,50.00%
,,,0.01,50.00%
,,n_alphas,350,50.00%
,,,450,50.00%
,,n_estimators,100,44.19%
,,,200,55.81%
,,learning_rate,0.1,55.81%
,,,0.2,44.19%
,,max_depth,3,24.42%
,,,5,24.42%
,,,7,24.42%
,,,9,26.74%
,,reg_lambda,3,24.42%
,,,5,24.42%
,,,7,24.42%
,,,9,26.74%
,,subsample,0.5,16.28%
,,,0.7,27.91%
,,,0.9,55.81%
,,colsample_bytree,0.5,16.28%
,,,0.7,27.91%
,,,0.9,55.81%
,,min_child_weight,48,16.28%
,,,80,55.81%
,,,112,27.91%
,,reg_alpha,0.01,32.56%
,,,0.1,33.72%
,,,1,33.72%
,,degree,5,0.00%
,,,10,100.00%
,逻辑回归,eps,0.0001,33.33%
,,,0.01,66.67%
,,n_alphas,350,66.67%
,,,450,33.33%
,,penalty,l1,33.33%
,,,l2,66.67%
,,C,0.1,66.67%
,,,1,33.33%
,,degree,5,0.00%
,,,10,100.00%
Lightgbm,朴素贝叶斯,max_depth,5,29.11%
,,,7,33.80%
,,,9,37.09%
,,num_iterations,100,43.19%
,,,200,56.81%
,,learning_rate,0.1,56.81%
,,,0.2,43.19%
,,num_leaves,32,21.60%
,,,64,34.74%
,,,96,33.33%
,,,128,10.33%
,,min_child_samples,32,21.60%
,,,64,34.74%
,,,96,33.33%
,,,128,10.33%
,,reg_lambda,5,21.60%
,,,10,34.74%
,,,15,33.33%
,,,20,10.33%
,,subsample,0.5,66.67%
,,,0.7,22.07%
,,,0.9,11.27%
,,colsample_bytree,0.5,66.67%
,,,0.7,22.07%
,,,0.9,11.27%
,,max_bin,16,16.43%
,,,48,26.76%
,,,80,14.55%
,,,112,20.19%
,,,144,22.07%
,,reg_alpha,0.01,34.27%
,,,0.1,33.80%
,,,1,31.92%
,,degree ,5,0.00%
,,,10,100.00%
,Lightgbm,min_child_samples_LGBC  ,10,51.59%
,,,14,26.38%
,,,18,22.03%
,,num_leaves_LGBC ,10,51.59%
,,,14,26.38%
,,,18,22.03%
,,reg_lambda_LGBC ,1.5625,51.59%
,,,2.1875,26.38%
,,,2.8125,22.03%
,,learning_rate_LGBR ,0.1,57.97%
,,,0.2,42.03%
,,num_iterations_LGBR ,100,42.03%
,,,200,57.97%
,,num_leaves_LGBR ,32,24.64%
,,,64,46.96%
,,,96,26.96%
,,,128,1.45%
,,min_child_samples_LGBR ,32,24.64%
,,,64,46.96%
,,,96,26.96%
,,,128,1.45%
,,reg_lambda_LGBR ,5,24.64%
,,,10,46.96%
,,,15,26.96%
,,,20,1.45%
,,subsample_LGBR ,0.5,38.84%
,,,0.7,28.12%
,,,0.9,33.04%
,,colsample_bytree_LGBR ,0.5,38.84%
,,,0.7,28.12%
,,,0.9,33.04%
,,subsample_LGBC ,0.5,33.04%
,,,0.7,28.12%
